,path,D_IMRANG,FILTER01,OBS-MOD,RET-POS1,U_FLC,GAIN,EXPTIME,diff,diff_std,sum,sum_std
889,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:17:21.211385.cam1.A_collapsed_diff.fits,45,Open,IPOL,0,A,0.105,0.0471744,21922,903.4641,33227,1150.8439
94,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:23:48.873671.cam1.A_collapsed_diff.fits,45,625-50,IPOL,0,A,0.105,0.0471744,-1080,66.22258,1763.5,81.24302
429,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:35:33.711720.cam1.A_collapsed_diff.fits,45,675-50,IPOL,0,A,0.105,0.0471744,-194,140.36275,7145,271.04364
565,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:35:51.350568.cam1.A_collapsed_diff.fits,45,725-50,IPOL,0,A,0.105,0.0471744,7384,320.13544,13378,483.0883
1023,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:47:35.550835.cam1.A_collapsed_diff.fits,45,750-50,IPOL,0,A,0.105,0.0471744,9954,376.20758,14644,522.4109
757,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:47:42.131859.cam1.A_collapsed_diff.fits,45,775-50,IPOL,0,A,0.105,0.0471744,6177,247.18465,8397,323.09915
696,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:33:42.374535.cam1.A_collapsed_diff.fits,45,Open,IPOL_MBI,0,A,0.105,0.0962496,[19866. 19443.  4891.   349.],[688.95936526 490.84405008 297.56603571 107.26629169],[23740.5 27359.5 12895.5  3826.5],[798.7614491  609.00069175 320.43863258 101.54448365]
358,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:17:21.211385.cam1.B_collapsed_diff.fits,45,Open,IPOL,0,B,0.105,0.0471744,-29779,1169.3877,34472,1208.395
627,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:23:48.873671.cam1.B_collapsed_diff.fits,45,625-50,IPOL,0,B,0.105,0.0471744,636,128.18863,1712,79.7065
530,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:35:33.711720.cam1.B_collapsed_diff.fits,45,675-50,IPOL,0,B,0.105,0.0471744,-1810,390.8556,7200,276.59912
893,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:35:51.350568.cam1.B_collapsed_diff.fits,45,725-50,IPOL,0,B,0.105,0.0471744,-11074,447.94608,14032,501.79425
601,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:47:35.550835.cam1.B_collapsed_diff.fits,45,750-50,IPOL,0,B,0.105,0.0471744,-13770,514.5454,15329,543.867
0,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:47:42.131859.cam1.B_collapsed_diff.fits,45,775-50,IPOL,0,B,0.105,0.0471744,-8177,322.59833,8629,333.44562
886,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:33:42.374535.cam1.B_collapsed_diff.fits,45,Open,IPOL_MBI,0,B,0.105,0.0962496,[-22265.5 -26523.5  -8596.   -1399. ],[791.45797182 874.41319752 371.83239858 137.21455296],[22477.5 29186.  13342.5  3712. ],[797.27596033 820.95045601 361.46138687 119.37249339]
331,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:18:24.613642.cam1.A_collapsed_diff.fits,57.5,Open,IPOL,0,A,0.105,0.0471744,11870,783.0639,32767,1179.6171
468,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:24:53.326168.cam1.A_collapsed_diff.fits,57.5,625-50,IPOL,0,A,0.105,0.0471744,-1081,66.52477,1759,82.804184
284,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:34:29.928144.cam1.A_collapsed_diff.fits,57.5,675-50,IPOL,0,A,0.105,0.0471744,1175,206.39117,7123,275.495
242,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:36:55.229963.cam1.A_collapsed_diff.fits,57.5,725-50,IPOL,0,A,0.105,0.0471744,6925,390.97827,13411,495.2116
837,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:46:30.716851.cam1.A_collapsed_diff.fits,57.5,750-50,IPOL,0,A,0.105,0.0471744,9339,450.42047,14602,542.4179
689,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:48:46.993044.cam1.A_collapsed_diff.fits,57.5,775-50,IPOL,0,A,0.105,0.0471744,5502.5,278.1381,8276,336.00034
27,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:35:02.093546.cam1.A_collapsed_diff.fits,57.5,Open,IPOL_MBI,0,A,0.105,0.0962496,[13337.5 10360.5  1190.5  -369. ],[531.8586925  430.85857472 245.18839875 101.49982072],[22094.5 27538.5 12976.   3808.5],[800.67495167 661.5367788  343.47489688  97.65599607]
905,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:18:24.613642.cam1.B_collapsed_diff.fits,57.5,Open,IPOL,0,B,0.105,0.0471744,-19837,1077.3695,33419,1219.9595
391,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:24:53.326168.cam1.B_collapsed_diff.fits,57.5,625-50,IPOL,0,B,0.105,0.0471744,758,65.0891,1706,80.72938
576,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:34:29.928144.cam1.B_collapsed_diff.fits,57.5,675-50,IPOL,0,B,0.105,0.0471744,-2545,242.14372,7257,279.77988
89,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:36:55.229963.cam1.B_collapsed_diff.fits,57.5,725-50,IPOL,0,B,0.105,0.0471744,-10317,510.84192,14094,517.35016
594,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:46:30.716851.cam1.B_collapsed_diff.fits,57.5,750-50,IPOL,0,B,0.105,0.0471744,-11709,536.0674,15258,565.94183
958,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:48:46.993044.cam1.B_collapsed_diff.fits,57.5,775-50,IPOL,0,B,0.105,0.0471744,-6734,318.58206,8462,349.48312
997,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:35:02.093546.cam1.B_collapsed_diff.fits,57.5,Open,IPOL_MBI,0,B,0.105,0.0962496,[-15543.5 -17840.5  -5411.5   -781. ],[ 727.56322485 1069.29000534  476.56056306  132.87138394],[21181.5 28326.  13045.   3653. ],[816.37585171 814.41511009 357.11752342  99.00098781]
932,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:18:31.668954.cam1.A_collapsed_diff.fits,70,Open,IPOL,0,A,0.105,0.0471744,-10834,450.17474,32098,1123.9099
598,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:25:00.765922.cam1.A_collapsed_diff.fits,70,625-50,IPOL,0,A,0.105,0.0471744,-1312,71.02066,1774,356.43402
272,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:34:22.586270.cam1.A_collapsed_diff.fits,70,675-50,IPOL,0,A,0.105,0.0471744,-590,153.8471,7238.5,274.45093
482,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:37:02.570889.cam1.A_collapsed_diff.fits,70,725-50,IPOL,0,A,0.105,0.0471744,-734,277.05832,13730,493.07773
952,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:46:23.280182.cam1.A_collapsed_diff.fits,70,750-50,IPOL,0,A,0.105,0.0471744,1112,333.33978,14270.5,518.93225
534,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:48:54.335068.cam1.A_collapsed_diff.fits,70,775-50,IPOL,0,A,0.105,0.0471744,1467,294.3279,7161,302.6314
811,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:35:10.799866.cam1.A_collapsed_diff.fits,70,Open,IPOL_MBI,0,A,0.105,0.0962496,[ -1825.5 -10662.5  -6623.5  -1611.5],[198.75093928 505.526757   178.33338898 115.44807143],[18824.  28418.5 13368.5  3767.5],[698.70510581 766.50425714 377.72614685 123.43308798]
398,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:18:31.668954.cam1.B_collapsed_diff.fits,70,Open,IPOL,0,B,0.105,0.0471744,3508,436.98648,31801,1117.749
844,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:25:00.765922.cam1.B_collapsed_diff.fits,70,625-50,IPOL,0,B,0.105,0.0471744,1125,66.99792,1711,80.296646
14,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:34:22.586270.cam1.B_collapsed_diff.fits,70,675-50,IPOL,0,B,0.105,0.0471744,-100,165.18494,7234,278.72098
258,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:37:02.570889.cam1.B_collapsed_diff.fits,70,725-50,IPOL,0,B,0.105,0.0471744,-2103,448.0171,13837,502.63885
900,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:46:23.280182.cam1.B_collapsed_diff.fits,70,750-50,IPOL,0,B,0.105,0.0471744,-2403,283.18143,14428,535.1086
234,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:48:54.335068.cam1.B_collapsed_diff.fits,70,775-50,IPOL,0,B,0.105,0.0471744,-1994,181.65286,7215,310.04858
774,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:35:10.799866.cam1.B_collapsed_diff.fits,70,Open,IPOL_MBI,0,B,0.105,0.0962496,[ 110.  3473.  2486.   435.5],[333.73759985 833.52705449 418.16459024 137.53342312],[19143.5 27876.  12814.   3749. ],[713.23392689 663.31694955 309.69916419 102.9978809 ]
374,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:20:10.348835.cam1.A_collapsed_diff.fits,82.5,Open,IPOL,0,A,0.105,0.0471744,-28722,909.31775,32302,1092.7795
1030,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:26:39.367079.cam1.A_collapsed_diff.fits,82.5,625-50,IPOL,0,A,0.105,0.0471744,-1496,74.85519,1794,361.7507
506,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:32:43.335303.cam1.A_collapsed_diff.fits,82.5,675-50,IPOL,0,A,0.105,0.0471744,-3741,164.84647,7605,272.87616
876,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:38:40.488041.cam1.A_collapsed_diff.fits,82.5,725-50,IPOL,0,A,0.105,0.0471744,-9824,360.5452,14258,451.0635
660,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:44:44.218880.cam1.A_collapsed_diff.fits,82.5,750-50,IPOL,0,A,0.105,0.0471744,-8741,300.93195,14011,495.52066
934,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:50:33.256271.cam1.A_collapsed_diff.fits,82.5,775-50,IPOL,0,A,0.105,0.0471744,-3093,143.38997,6328,256.10678
758,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:37:12.313795.cam1.A_collapsed_diff.fits,82.5,Open,IPOL_MBI,0,A,0.105,0.0962496,[-13889.  -27267.5 -12740.5  -2802.5],[507.14405412 830.5896095  327.13619101 119.41110738],[16562.  29836.5 13944.   3862. ],[622.19970933 871.60604621 404.88412084 134.51811086]
352,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:20:10.348835.cam1.B_collapsed_diff.fits,82.5,Open,IPOL,0,B,0.105,0.0471744,22752,644.91364,30762,1037.2988
95,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:26:39.367079.cam1.B_collapsed_diff.fits,82.5,625-50,IPOL,0,B,0.105,0.0471744,1408,72.32655,1720,78.72888
175,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:32:43.335303.cam1.B_collapsed_diff.fits,82.5,675-50,IPOL,0,B,0.105,0.0471744,3334,163.89017,7381,247.44511
808,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:38:40.488041.cam1.B_collapsed_diff.fits,82.5,725-50,IPOL,0,B,0.105,0.0471744,7733,266.34814,13863,491.451
561,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:44:44.218880.cam1.B_collapsed_diff.fits,82.5,750-50,IPOL,0,B,0.105,0.0471744,7674.5,255.17955,13830,498.31696
589,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:50:33.256271.cam1.B_collapsed_diff.fits,82.5,775-50,IPOL,0,B,0.105,0.0471744,2697,132.82994,6247.5,255.3975
