filepath,D_IMRANG,RET-ANG1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,wavelength_bin
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170808_cube.fits,45.0,0.0,209091820.95913124,-119621426.9655094,164356623.96232033,44735196.99681091,14460.007640355218,14460.007640355218,2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170812_cube.fits,45.0,45.0,210678929.1110258,119052791.10094166,45813069.00504208,164865860.10598373,14514.783123113682,14514.783123113682,2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170809_cube.fits,45.0,11.25,210198603.8063078,-95407945.564332,152803274.6853199,57395329.12098789,14498.227609135807,14498.227609135807,2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170813_cube.fits,45.0,56.25,209786468.92219257,94912072.56502056,57437198.178586006,152349270.74360657,14484.007350253332,14484.007350253332,2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170810_cube.fits,45.0,22.5,210043036.35196304,-15319024.203884125,112681030.27792358,97362006.07403946,14492.861565334952,14492.861565334952,2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170814_cube.fits,45.0,67.5,209105823.50515747,14910550.106761932,97097636.69919775,112008186.8059597,14460.491814082863,14460.491814082863,2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170811_cube.fits,45.0,33.75,210508738.2474461,73384886.7358532,68561925.75579643,141946812.49164963,14508.919265315595,14508.919265315595,2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170815_cube.fits,45.0,78.75,209834077.34556007,-73874993.44338417,141854535.39447212,67979541.95108795,14485.650739457998,14485.650739457998,2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170817_cube.fits,57.5,0.0,209653708.63274336,-138472602.24086046,174063155.4368019,35590553.19594145,14479.423629162293,14479.423629162293,2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170821_cube.fits,57.5,45.0,210387095.91462895,138342436.68105125,36022329.616788864,174364766.29784012,14504.726674937,14504.726674937,2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170818_cube.fits,57.5,11.25,209353271.58289143,-85512997.83219719,147433134.70754433,61920136.87534714,14469.045289268102,14469.045289268102,2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170822_cube.fits,57.5,56.25,209299804.19938755,85722520.76400661,61788641.71769047,147511162.48169708,14467.197524033034,14467.197524033034,2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170819_cube.fits,57.5,22.5,209112708.7126541,16941023.61483383,96085842.54891014,113026866.16374396,14460.729881740206,14460.729881740206,2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170823_cube.fits,57.5,67.5,208530807.54779243,-16454179.04640007,112492493.29709624,96038314.25069618,14440.595816925024,14440.595816925024,2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170820_cube.fits,57.5,33.75,209797029.5951223,109717613.82318592,50039707.88596821,159757321.70915413,14484.371908892785,14484.371908892785,2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170824_cube.fits,57.5,78.75,209205877.665102,-109249890.4934826,159227884.0792923,49977993.58580971,14463.950970087735,14463.950970087735,2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170826_cube.fits,70.0,0.0,209055308.72219944,-174488189.4583807,191771749.09029007,17283559.63190937,14458.745060419298,14458.745060419298,2139.4131
