FILE_NAME,SIMPLE,BITPIX,NAXIS,NAXIS1,NAXIS2,DATE-OBS,OBJECT,UT,UT-END,UT-STR,HST,HST-END,HST-STR,MJD,MJD-END,MJD-STR,FRAMEID,EXPTIME,DATA-TYP,OBSERVAT,TELESCOP,INSTRUME,TIMESYS,PROP-ID,OBSERVER,OBS-ALOC,OBS-MOD,RADESYS,LONPOLE,RA,DEC,EQUINOX,TELFOCUS,FOC-VAL,AIRMASS,ZD,AZIMUTH,ALTITUDE,FOC-POS,AUTOGUID,M2-TYPE,OUT-HUM,OUT-PRS,OUT-TMP,OUT-WND,U_CAMERA,U_AQTINT,U_AQNCYC,U_FLCOFF,U_AQSDEL,U_AQDTIM,U_HWPANG,U_NLOOPS,U_LOOPIT,U_NPOLST,U_PLSTIT,U_ORGDIR,U_OGFNAM,U_OGFNUM,U_EMGAIN,U_QWP1,U_QWP2,U_FILTER,U_MASK,U_MANGLE,U_AOHWP,D_SADC,D_SADCA1,D_SADCA2,D_SADCDC,D_SADCFC,D_SADCMD,D_SADCPA,D_SADCP,D_SADCRA,D_SADCST,D_BS1,D_BS1P,D_BS1S,D_BS2,D_BS2P,D_BS2S,D_ENSHUT,D_BNCHI,D_BNCHO,D_BNCTI,D_BNCTO,D_IMRANG,D_IMRDEC,D_IMRMOD,D_IMRPAD,D_IMRPAP,D_IMRRA,D_IMR,D_ADFG,D_DMCMTX,D_DMGAIN,D_HDFG,D_HTTG,D_LDFG,D_LOOP,D_LTTG,D_PSUBG,D_STTG,D_TTCMTX,D_TTGAIN,D_WTTG,DATE,U_FLCSTT,OG_FRMID,DETECTOR,DETGAIN,RET-ANG1,RETPLAT1,U_FLCANG,PA-STR,PA-END,PA,PARANG,WCSAXES,CRPIX1,CRPIX2,PC1_1,PC1_2,PC2_1,PC2_2,CDELT1,CDELT2,CUNIT1,CUNIT2,CTYPE1,CTYPE2,CRVAL1,CRVAL2,LATPOLE,MJDREF,COL_METH,MAX_X,MAX_Y,MAX_PIXEL_VALUE,R_15_TOTAL_COUNTS,NORM_I,DOUBLE_DIFFERENCE,DOUBLE_SUM,Q,U,Q_sem,U_sem,SCIENCE_REGION_MAX_RADIUS,APPENDIX_D_APERTURE_RADIUS,BACKGROUND_ANNULUS_INNER_RADIUS,BACKGROUND_ANNULUS_OUTER_RADIUS,BACKGROUND_ANNULUS_WIDTH,R_48_RAW_TOTAL_COUNTS,R_48_TOTAL_COUNTS,R_48_ANNULUS_R_48_TO_55_BACKGROUND_PER_PIXEL,R_48_ANNULUS_R_48_TO_55_BACKGROUND_TOTAL_COUNTS,R_48_TOTAL_COUNTS_NOISE,R_48_ANNULUS_R_48_TO_55_SNR,DOUBLE_DIFFERENCE_ERRS,APPENDIX_D_Q_OVER_I,APPENDIX_D_U_OVER_I
VDATA20220128A_00000984_calib_collapsed.fits,True,-32,2,128,128,2022-01-28,HD108767,11:10:17.087,11:10:37.510,11:09:56.664,01:10:17.094,01:10:37.517,01:09:56.670,59607.4654685,59607.465706,59607.465231,VTMP00000984,19.995,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,12:29:51.765,-16:31:03.5,2000.0,NS_IR,-0.12,1.965,59.50664,124.44317,30.49336,Nasmyth-IR,OFF,IR,27.0,621.7,270.75,5.8,1.0,5000.0,4000.0,0.0,100000.0,5000.0,0.0,10.0,1.0,4.0,1.0,/mnt/data/20220128/,HD108767_01_20220128_675-50_EmptySlot_0,0,10.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,200.91198,198.93297,-16:30:56,1.0,ADI,-39.0,163.025,12:29:51.9,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,10.5,0.0,79.74685,-16:30:55.55,ADI,86.941,-39.0,12:29:51.860,TRACK,0.0,ao188cmtx.oct,12.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T11:10:43,1,VMPA00017133,iXon Ultra 897 - VAMPIRES 1.0,10.0,0.0,HWP(NIR),45,-54.05699079641303,-53.95082478440906,-54.00396403346271,-132.6039640334627,2,64.5,64.5,-0.67692689526025,-0.73605025539926,0.73605025539926,-0.67692689526025,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,187.4656875,-16.517638888889,-16.517638888889,0.0,median,60.0,64.0,8278.0,694048.9077300336,"(0.030035724783179812, 0.0)",0.013568407194381455,-0.10439021460000901,0.0,0.0,0,0,60.0,48,48,55,7,1618508.0,1142450.0,66.0,476058.0,1437.506376868525,794.744300535711,0.0006084055397796874,,
VDATA20220128A_00000985_calib_collapsed.fits,True,-32,2,128,128,2022-01-28,HD108767,11:10:17.087,11:10:37.510,11:09:56.664,01:10:17.094,01:10:37.517,01:09:56.670,59607.4654685,59607.465706,59607.465231,VTMP00000985,19.995,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,12:29:51.765,-16:31:03.5,2000.0,NS_IR,-0.12,1.965,59.50664,124.44317,30.49336,Nasmyth-IR,OFF,IR,27.0,621.7,270.75,5.8,1.0,5000.0,4000.0,0.0,100000.0,5000.0,0.0,10.0,1.0,4.0,1.0,/mnt/data/20220128/,HD108767_01_20220128_675-50_EmptySlot_0,0,10.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,200.91198,198.93297,-16:30:56,1.0,ADI,-39.0,163.025,12:29:51.9,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,10.5,0.0,79.74685,-16:30:55.55,ADI,86.941,-39.0,12:29:51.860,TRACK,0.0,ao188cmtx.oct,12.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T11:10:43,2,VMPA00017133,iXon Ultra 897 - VAMPIRES 1.0,10.0,0.0,HWP(NIR),45,-54.05699079641303,-53.95082478440906,-54.00396403346271,-132.6039640334627,2,64.5,64.5,-0.67692689526025,-0.73605025539926,0.73605025539926,-0.67692689526025,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,187.4656875,-16.517638888889,-16.517638888889,0.0,median,59.0,64.0,7717.0,663583.9824489973,0,0.0,0.0,0.0,0.0,0,0,59.0,48,48,55,7,1551991.5,1093966.0,63.5,458025.5,1400.9588322634945,780.8694836753384,0.0,,
VDATA20220128A_00000986_calib_collapsed.fits,True,-32,2,128,128,2022-01-28,HD108767,11:10:17.087,11:10:37.510,11:09:56.664,01:10:17.094,01:10:37.517,01:09:56.670,59607.4654685,59607.465706,59607.465231,VTMP00000986,19.995,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,12:29:51.765,-16:31:03.5,2000.0,NS_IR,-0.12,1.965,59.50664,124.44317,30.49336,Nasmyth-IR,OFF,IR,27.0,621.7,270.75,5.8,2.0,5000.0,4000.0,0.0,100000.0,5000.0,0.0,10.0,1.0,4.0,1.0,/mnt/data/20220128/,HD108767_01_20220128_675-50_EmptySlot_0,0,10.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,200.91198,198.93297,-16:30:56,1.0,ADI,-39.0,163.025,12:29:51.9,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,10.5,0.0,79.74685,-16:30:55.55,ADI,86.941,-39.0,12:29:51.860,TRACK,0.0,ao188cmtx.oct,12.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T11:10:47,1,VMPA00017135,iXon Ultra 897 - VAMPIRES 2.0,10.0,0.0,HWP(NIR),45,-54.05699079641303,-53.95082478440906,-54.00396403346271,-132.6039640334627,2,64.5,64.5,-0.67692689526025,-0.73605025539926,0.73605025539926,-0.67692689526025,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,187.4656875,-16.517638888889,-16.517638888889,0.0,median,61.0,64.0,9586.0,827676.2097864449,0,0.0,0.0,0.0,0.0,0,0,61.0,48,48,55,7,1924641.0,1369240.0,77.0,555401.0,1614.882404608967,847.8883639403776,0.0,,
VDATA20220128A_00000987_calib_collapsed.fits,True,-32,2,128,128,2022-01-28,HD108767,11:10:17.087,11:10:37.510,11:09:56.664,01:10:17.094,01:10:37.517,01:09:56.670,59607.4654685,59607.465706,59607.465231,VTMP00000987,19.995,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,12:29:51.765,-16:31:03.5,2000.0,NS_IR,-0.12,1.965,59.50664,124.44317,30.49336,Nasmyth-IR,OFF,IR,27.0,621.7,270.75,5.8,2.0,5000.0,4000.0,0.0,100000.0,5000.0,0.0,10.0,1.0,4.0,1.0,/mnt/data/20220128/,HD108767_01_20220128_675-50_EmptySlot_0,0,10.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,200.91198,198.93297,-16:30:56,1.0,ADI,-39.0,163.025,12:29:51.9,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,10.5,0.0,79.74685,-16:30:55.55,ADI,86.941,-39.0,12:29:51.860,TRACK,0.0,ao188cmtx.oct,12.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T11:10:47,2,VMPA00017135,iXon Ultra 897 - VAMPIRES 2.0,10.0,0.0,HWP(NIR),45,-54.05699079641303,-53.95082478440906,-54.00396403346271,-132.6039640334627,2,64.5,64.5,-0.67692689526025,-0.73605025539926,0.73605025539926,-0.67692689526025,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,187.4656875,-16.517638888889,-16.517638888889,0.0,median,61.0,63.0,9617.0,840883.6251818981,0,0.0,0.0,0.0,0.0,0,0,61.0,48,48,55,7,1954739.5,1388519.0,78.5,566220.5,1611.2814935929953,861.7482454314935,0.0,,
VDATA20220128A_00000988_calib_collapsed.fits,True,-32,2,128,128,2022-01-28,HD108767,11:12:47.356,11:13:07.774,11:12:26.939,01:12:47.362,01:13:07.780,01:12:26.944,59607.467205,59607.467442,59607.466968,VTMP00000988,19.995,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,12:29:51.767,-16:31:03.36,2000.0,NS_IR,-0.12,1.938,59.02162,124.85502,30.97838,Nasmyth-IR,OFF,IR,27.1,621.7,270.75,5.7,1.0,5000.0,4000.0,0.0,100000.0,5000.0,45.0,10.0,1.0,4.0,2.0,/mnt/data/20220128/,HD108767_01_20220128_675-50_EmptySlot_0,1,10.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,199.08101,197.10504,-16:30:56,1.0,ADI,-39.0,163.025,12:29:51.9,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,10.5,0.0,79.99572,-16:30:55.55,ADI,87.328,-39.0,12:29:51.860,TRACK,0.0,ao188cmtx.oct,12.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T11:13:13,1,VMPA00017137,iXon Ultra 897 - VAMPIRES 1.0,10.0,45.0,HWP(NIR),45,-53.6665845770358,-53.55898465564146,-53.61284172342158,-132.2128417234216,2,64.5,64.5,-0.67188660924726,-0.7406540247067,0.7406540247067,-0.67188660924726,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,187.46569583333,-16.5176,-16.5176,0.0,median,59.0,64.0,5510.0,530122.319383675,"(-0.01056207184619315, 0.0)",-0.006416418845564186,-0.09448627435079814,0.0,0.0,0,0,59.0,48,48,55,7,1426785.5,932695.0,68.5,494090.5,1348.7752886935068,691.5125208910496,0.0006938792750122785,,
VDATA20220128A_00000989_calib_collapsed.fits,True,-32,2,128,128,2022-01-28,HD108767,11:12:47.356,11:13:07.774,11:12:26.939,01:12:47.362,01:13:07.780,01:12:26.944,59607.467205,59607.467442,59607.466968,VTMP00000989,19.995,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,12:29:51.767,-16:31:03.36,2000.0,NS_IR,-0.12,1.938,59.02162,124.85502,30.97838,Nasmyth-IR,OFF,IR,27.1,621.7,270.75,5.7,1.0,5000.0,4000.0,0.0,100000.0,5000.0,45.0,10.0,1.0,4.0,2.0,/mnt/data/20220128/,HD108767_01_20220128_675-50_EmptySlot_0,1,10.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,199.08101,197.10504,-16:30:56,1.0,ADI,-39.0,163.025,12:29:51.9,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,10.5,0.0,79.99572,-16:30:55.55,ADI,87.328,-39.0,12:29:51.860,TRACK,0.0,ao188cmtx.oct,12.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T11:13:13,2,VMPA00017137,iXon Ultra 897 - VAMPIRES 1.0,10.0,45.0,HWP(NIR),45,-53.6665845770358,-53.55898465564146,-53.61284172342158,-132.2128417234216,2,64.5,64.5,-0.67188660924726,-0.7406540247067,0.7406540247067,-0.67188660924726,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,187.46569583333,-16.5176,-16.5176,0.0,median,59.0,64.0,5604.0,527958.0035879251,0,0.0,0.0,0.0,0.0,0,0,59.0,48,48,55,7,1422572.5,932088.5,68.0,490484.0,1348.6375980715475,691.1334085100534,0.0,,
VDATA20220128A_00000990_calib_collapsed.fits,True,-32,2,128,128,2022-01-28,HD108767,11:12:47.356,11:13:07.774,11:12:26.939,01:12:47.362,01:13:07.780,01:12:26.944,59607.467205,59607.467442,59607.466968,VTMP00000990,19.995,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,12:29:51.767,-16:31:03.36,2000.0,NS_IR,-0.12,1.938,59.02162,124.85502,30.97838,Nasmyth-IR,OFF,IR,27.1,621.7,270.75,5.7,2.0,5000.0,4000.0,0.0,100000.0,5000.0,45.0,10.0,1.0,4.0,2.0,/mnt/data/20220128/,HD108767_01_20220128_675-50_EmptySlot_0,1,10.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,199.08101,197.10504,-16:30:56,1.0,ADI,-39.0,163.025,12:29:51.9,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,10.5,0.0,79.99572,-16:30:55.55,ADI,87.328,-39.0,12:29:51.860,TRACK,0.0,ao188cmtx.oct,12.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T11:13:17,1,VMPA00017139,iXon Ultra 897 - VAMPIRES 2.0,10.0,45.0,HWP(NIR),45,-53.6665845770358,-53.55898465564146,-53.61284172342158,-132.2128417234216,2,64.5,64.5,-0.67188660924726,-0.7406540247067,0.7406540247067,-0.67188660924726,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,187.46569583333,-16.5176,-16.5176,0.0,median,61.0,63.0,6808.0,648210.6438101553,0,0.0,0.0,0.0,0.0,0,0,61.0,48,48,55,7,1731956.5,1140490.5,82.0,591466.0,1515.4267845040279,752.587001669805,0.0,,
VDATA20220128A_00000991_calib_collapsed.fits,True,-32,2,128,128,2022-01-28,HD108767,11:12:47.356,11:13:07.774,11:12:26.939,01:12:47.362,01:13:07.780,01:12:26.944,59607.467205,59607.467442,59607.466968,VTMP00000991,19.995,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,12:29:51.767,-16:31:03.36,2000.0,NS_IR,-0.12,1.938,59.02162,124.85502,30.97838,Nasmyth-IR,OFF,IR,27.1,621.7,270.75,5.7,2.0,5000.0,4000.0,0.0,100000.0,5000.0,45.0,10.0,1.0,4.0,2.0,/mnt/data/20220128/,HD108767_01_20220128_675-50_EmptySlot_0,1,10.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,199.08101,197.10504,-16:30:56,1.0,ADI,-39.0,163.025,12:29:51.9,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,10.5,0.0,79.99572,-16:30:55.55,ADI,87.328,-39.0,12:29:51.860,TRACK,0.0,ao188cmtx.oct,12.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T11:13:17,2,VMPA00017139,iXon Ultra 897 - VAMPIRES 2.0,10.0,45.0,HWP(NIR),45,-53.6665845770358,-53.55898465564146,-53.61284172342158,-132.2128417234216,2,64.5,64.5,-0.67188660924726,-0.7406540247067,0.7406540247067,-0.67188660924726,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,187.46569583333,-16.5176,-16.5176,0.0,median,61.0,63.0,6689.0,631948.6957123481,0,0.0,0.0,0.0,0.0,0,0,61.0,48,48,55,7,1690496.5,1113456.5,80.0,577040.0,1494.5009395999234,745.035664077984,0.0,,
VDATA20220128A_00000992_calib_collapsed.fits,True,-32,2,128,128,2022-01-28,HD108767,11:13:51.619,11:14:12.052,11:13:31.186,01:13:51.625,01:14:12.058,01:13:31.193,59607.467957,59607.468194,59607.46772,VTMP00000992,19.995,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,12:29:51.77,-16:31:03.47,2000.0,NS_IR,-0.12,1.926,58.81353,125.03426,31.18647,Nasmyth-IR,OFF,IR,26.9,621.7,270.75,5.8,1.0,5000.0,4000.0,0.0,100000.0,5000.0,22.5,10.0,1.0,4.0,3.0,/mnt/data/20220128/,HD108767_01_20220128_675-50_EmptySlot_0,2,10.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,198.35299,196.35298,-16:30:56,1.0,ADI,-39.0,163.025,12:29:51.9,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,10.5,0.0,80.10656,-16:30:55.55,ADI,87.502,-39.0,12:29:51.860,TRACK,0.0,ao188cmtx.oct,12.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T11:14:18,1,VMPA00017141,iXon Ultra 897 - VAMPIRES 1.0,10.0,22.5,HWP(NIR),45,-53.49565750700233,-53.3873297018331,-53.44155119395407,-132.0415511939541,2,64.5,64.5,-0.66966936280536,-0.74265937314482,0.74265937314482,-0.66966936280536,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,187.46570833333,-16.517630555556,-16.517630555556,0.0,median,59.0,64.0,7206.0,625220.9428374455,"(0.020847855260765505, 0.0)",0.010498870098331984,-0.1007539343873317,0.0,0.0,0,0,59.0,48,48,55,7,1555950.5,1058253.5,69.0,497697.0,1411.5322394780148,749.7196807855714,0.0006428892259831278,,
VDATA20220128A_00000993_calib_collapsed.fits,True,-32,2,128,128,2022-01-28,HD108767,11:13:51.619,11:14:12.052,11:13:31.186,01:13:51.625,01:14:12.058,01:13:31.193,59607.467957,59607.468194,59607.46772,VTMP00000993,19.995,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,12:29:51.77,-16:31:03.47,2000.0,NS_IR,-0.12,1.926,58.81353,125.03426,31.18647,Nasmyth-IR,OFF,IR,26.9,621.7,270.75,5.8,1.0,5000.0,4000.0,0.0,100000.0,5000.0,22.5,10.0,1.0,4.0,3.0,/mnt/data/20220128/,HD108767_01_20220128_675-50_EmptySlot_0,2,10.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,198.35299,196.35298,-16:30:56,1.0,ADI,-39.0,163.025,12:29:51.9,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,10.5,0.0,80.10656,-16:30:55.55,ADI,87.502,-39.0,12:29:51.860,TRACK,0.0,ao188cmtx.oct,12.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T11:14:18,2,VMPA00017141,iXon Ultra 897 - VAMPIRES 1.0,10.0,22.5,HWP(NIR),45,-53.49565750700233,-53.3873297018331,-53.44155119395407,-132.0415511939541,2,64.5,64.5,-0.66966936280536,-0.74265937314482,0.74265937314482,-0.66966936280536,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,187.46570833333,-16.517630555556,-16.517630555556,0.0,median,60.0,64.0,7056.0,605408.0329896391,0,0.0,0.0,0.0,0.0,0,0,60.0,48,48,55,7,1504705.0,1021434.0,67.0,483271.0,1385.0656523066782,737.462515440269,0.0,,
