filepath,D_IMRANG,RET-ANG1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,wavelength_bin
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170808_cube.fits,45.0,0.0,132286215.26673985,-28631666.27038288,80458940.76856136,51827274.49817848,11501.574469034222,11501.574469034222,1685.9701
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170812_cube.fits,45.0,45.0,130308083.50136185,43340794.58726311,43483644.45704937,86824439.04431248,11415.256611279568,11415.256611279568,1685.9701
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170809_cube.fits,45.0,11.25,131972350.3470869,-16358753.61660862,74165551.98184776,57806798.36523914,11487.921933364923,11487.921933364923,1685.9701
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170813_cube.fits,45.0,56.25,130838494.2402296,38349906.26333523,46244293.98844719,84594200.25178242,11438.465554445213,11438.465554445213,1685.9701
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170810_cube.fits,45.0,22.5,130737823.08125782,7023792.928107262,61857015.07657528,68880808.00468254,11434.064154151743,11434.064154151743,1685.9701
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170814_cube.fits,45.0,67.5,131829211.81494616,18008711.763760567,56910250.0255928,74918961.78935337,11481.690285621982,11481.690285621982,1685.9701
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170811_cube.fits,45.0,33.75,130187450.38147832,30842561.780859947,49672444.30030918,80515006.08116913,11409.971532895175,11409.971532895175,1685.9701
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170815_cube.fits,45.0,78.75,133052207.21251868,-7626734.661588669,70339470.93705368,62712736.27546501,11534.825842314163,11534.825842314163,1685.9701
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170817_cube.fits,57.5,0.0,133491921.56946611,-50791864.067080975,92141892.81827354,41350028.75119257,11553.870415123502,11553.870415123502,1685.9701
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170821_cube.fits,57.5,45.0,129458424.06680156,63106256.60363531,33176083.73158312,96282340.33521844,11377.979788468669,11377.979788468669,1685.9701
