filepath,D_IMRANG,RET-ANG1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,wavelength_bin
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170808_cube.fits,45.0,0.0,17960222.291606575,11053380.770973532,3453420.760316521,14506801.531290054,4237.950246476069,4237.950246476069,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170812_cube.fits,45.0,45.0,18633952.16828236,-13387170.778384358,16010561.47333336,2623390.694949001,4316.706171177552,4316.706171177552,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170809_cube.fits,45.0,11.25,18039159.57549274,8155392.526534677,4941883.524479032,13097276.051013708,4247.253180055639,4247.253180055639,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170813_cube.fits,45.0,56.25,18564340.592718005,-11100403.988164544,14832372.290441277,3731968.3022767305,4308.635583652673,4308.635583652673,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170810_cube.fits,45.0,22.5,18137589.86025381,6121.794819116592,9065734.032717347,9071855.827536464,4258.824938906718,4258.824938906718,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170814_cube.fits,45.0,67.5,18366400.793243527,-3249042.8577035666,10807721.825473549,7558678.96776998,4285.60390064732,4285.60390064732,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170811_cube.fits,45.0,33.75,18381835.0194183,-8866079.535336912,13623957.277377604,4757877.742040694,4287.404228600133,4287.404228600133,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170815_cube.fits,45.0,78.75,18194621.99839425,5812096.282437086,6191262.857978582,12003359.140415668,4265.5154434598235,4265.5154434598235,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170817_cube.fits,57.5,0.0,18153575.88452649,4649732.530300856,6751921.677112818,11401654.207413672,4260.701337165807,4260.701337165807,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170821_cube.fits,57.5,45.0,18424049.856370628,-6736200.659751236,12580125.258060932,5843924.598309696,4292.324528314539,4292.324528314539,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170818_cube.fits,57.5,11.25,18058451.970123053,10923625.682652237,3567413.143735409,14491038.826387644,4249.523734505204,4249.523734505204,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170822_cube.fits,57.5,56.25,18582620.972804695,-13670643.38365826,16126632.178231478,2455988.7945732176,4310.756426986416,4310.756426986416,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170819_cube.fits,57.5,22.5,17990193.105089664,10532575.854253292,3728808.625418186,14261384.479671478,4241.484776005882,4241.484776005882,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170823_cube.fits,57.5,67.5,18443483.33355403,-13538501.50992608,15990992.421740055,2452490.9118139744,4294.587679108907,4294.587679108907,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170820_cube.fits,57.5,33.75,18130284.496590737,3281794.4828025103,7424245.006894112,10706039.489696622,4257.96717890013,4257.96717890013,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170824_cube.fits,57.5,78.75,18274430.31268179,-6184541.091945529,12229485.702313662,6044944.610368133,4274.860268205476,4274.860268205476,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170826_cube.fits,70.0,0.0,18201951.458589733,-7647792.116132081,12924871.787360908,5277079.671228826,4266.37450988421,4266.37450988421,1199.6971
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170830_cube.fits,70.0,45.0,18069655.932715654,5878167.289882898,6095744.321416378,11973911.611299276,4250.841791070994,4250.841791070994,1199.6971
