filepath,D_IMRANG,RET-ANG1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,wavelength_bin
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170880_cube.fits,45.0,0.0,8572497.263595164,2059343.7699529529,3256576.7468211055,5315920.516774058,2927.8827270905444,2927.8827270905444,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170884_cube.fits,45.0,45.0,9742380.636016965,-5573286.737970352,7657833.686993659,2084546.9490233064,3121.2786860543174,3121.2786860543174,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170881_cube.fits,45.0,11.25,8670342.341290206,1065538.5062922535,3802401.917498976,4867940.42379123,2944.5445048920906,2944.5445048920906,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170885_cube.fits,45.0,56.25,9609834.95021078,-4891362.228952676,7250598.589581728,2359236.360629052,3099.9733789519514,3099.9733789519514,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170882_cube.fits,45.0,22.5,8941859.800298303,-1456518.478688985,5199189.139493644,3742670.660804659,2990.294266505941,2990.294266505941,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170886_cube.fits,45.0,67.5,9139346.874533862,-2473472.9185557663,5806409.896544814,3332936.977989048,3023.1352722850265,3023.1352722850265,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170883_cube.fits,45.0,33.75,9463923.832127064,-4175596.6113462746,6819760.22173667,2644163.610390395,3076.349107648068,3076.349107648068,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170887_cube.fits,45.0,78.75,8739301.902071476,333812.68984365463,4202744.606113911,4536557.295957565,2956.2310298877987,2956.2310298877987,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170889_cube.fits,57.5,0.0,8915063.17897892,-675263.9309523106,4795163.554965615,4119899.6240133047,2985.8103052570036,2985.8103052570036,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170893_cube.fits,57.5,45.0,9242786.76672694,-2706697.40607813,5974742.086402535,3268044.6803244054,3040.1951856298538,3040.1951856298538,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170890_cube.fits,57.5,11.25,8435131.652025253,2286117.497317165,3074507.0773540437,5360624.574671209,2904.329811165607,2904.329811165607,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170894_cube.fits,57.5,56.25,9726484.081788838,-5979329.776944816,7852906.929366827,1873577.152422011,3118.7311653601755,3118.7311653601755,1159.5614
