filepath,D_IMRANG,RET-ANG1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,wavelength_bin
/home/thomasmc/nbs_in/pol/cubes/CRSA00171722_cube.fits,45.0,0.0,36280845.47074759,17501541.049153686,9389652.210796952,26891193.25995064,6023.358321629852,6023.358321629852,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171726_cube.fits,45.0,45.0,37267686.23244667,-16317856.680568697,26792771.456507683,10474914.775938988,6104.726548539801,6104.726548539801,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171723_cube.fits,45.0,11.25,36491697.32329655,14423143.693473816,11034276.814911366,25457420.50838518,6040.835813304029,6040.835813304029,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171727_cube.fits,45.0,56.25,36958597.96080518,-12078698.127466915,24518648.044136047,12439949.91666913,6079.358351076631,6079.358351076631,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171724_cube.fits,45.0,22.5,36851345.28498745,2785643.2450413704,17032851.01997304,19818494.26501441,6070.530889880015,6070.530889880015,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171728_cube.fits,45.0,67.5,36531488.01247597,64349.952001571655,18233569.0302372,18297918.98223877,6044.1283914619125,6044.1283914619125,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171725_cube.fits,45.0,33.75,37273868.1251092,-10101959.378080845,23687913.75159502,13585954.373514175,6105.232847738831,6105.232847738831,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171729_cube.fits,45.0,78.75,36222605.04398215,12659508.186781287,11781548.42860043,24441056.61538172,6018.5218321430175,6018.5218321430175,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171731_cube.fits,57.5,0.0,36120532.6145457,21083711.842085004,7518410.38623035,28602122.22831536,6010.035991118997,6010.035991118997,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171735_cube.fits,57.5,45.0,37484383.00080442,-20405073.48720026,28944728.244002342,8539654.756802082,6122.449101528278,6122.449101528278,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171732_cube.fits,57.5,11.25,36593885.72195089,12853948.337048171,11869968.692451358,24723917.02949953,6049.288034302127,6049.288034302127,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171736_cube.fits,57.5,56.25,37090531.96522117,-11076548.701398134,24083540.33330965,13006991.631911516,6090.199665464275,6090.199665464275,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171733_cube.fits,57.5,22.5,37102381.70500517,-3156162.056131363,20129271.880568262,16973109.824436903,6091.172440918511,6091.172440918511,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171737_cube.fits,57.5,67.5,36548504.61417651,5373453.0086147785,15587525.802780868,20960978.811395645,6045.5359244798565,6045.5359244798565,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171734_cube.fits,57.5,33.75,37569499.17346513,-17088993.993068337,27329246.58326673,10240252.590198398,6129.396313950105,6129.396313950105,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171738_cube.fits,57.5,78.75,35951251.148670435,18985830.93692565,8482710.105872393,27468541.04279804,5995.936219529894,5995.936219529894,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171740_cube.fits,70.0,0.0,35841325.02273035,27912693.540219784,3964315.7412552834,31877009.281475067,5986.762482571891,5986.762482571891,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171744_cube.fits,70.0,45.0,37885412.38824046,-28227033.419242263,33056222.90374136,4829189.484499097,6155.112703130663,6155.112703130663,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171741_cube.fits,70.0,11.25,36488745.88410711,16675875.026983738,9906435.428561687,26582310.455545425,6040.591517732937,6040.591517732937,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171745_cube.fits,70.0,56.25,37462042.63564789,-16171875.100783229,26816958.86821556,10645083.767432332,6120.624366488103,6120.624366488103,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171742_cube.fits,70.0,22.5,37270664.989138365,-4656866.714740992,20963765.85193968,16306899.137198688,6104.970515009746,6104.970515009746,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171746_cube.fits,70.0,67.5,36663702.89651823,5461148.1180791855,15601277.389219522,21062425.507298708,6055.055977983872,6055.055977983872,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171743_cube.fits,70.0,33.75,37873038.76763368,-23421018.75506949,30647028.761351585,7226010.006282091,6154.107471245012,6154.107471245012,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171747_cube.fits,70.0,78.75,35857034.084867835,23950813.55629313,5953110.264287353,29903923.82058048,5988.074321922519,5988.074321922519,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171749_cube.fits,82.5,0.0,35718223.278094605,33171116.50357501,1273553.3872597965,34444669.89083481,5976.472477816208,5976.472477816208,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171753_cube.fits,82.5,45.0,38393998.6633531,-34938076.883684024,36666037.77351856,1727960.889834538,6196.289104242402,6196.289104242402,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171750_cube.fits,82.5,11.25,36409258.1385963,23103885.74012208,6652686.199237108,29756571.939359188,6034.008463583416,6034.008463583416,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171754_cube.fits,82.5,56.25,38071928.43031657,-24401482.3048805,31236705.367598534,6835223.062718034,6170.245410866294,6170.245410866294,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171751_cube.fits,82.5,22.5,37356534.0336566,-1058777.1500592232,19207655.59185791,18148878.441798687,6111.99918469044,6111.99918469044,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171755_cube.fits,82.5,67.5,37226759.20557952,-77683.6049888134,18652221.405284166,18574537.80029536,6101.373550732616,6101.373550732616,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171752_cube.fits,82.5,33.75,38065716.64871466,-25095402.982239127,31580559.81547689,6485156.833237767,6169.742024486491,6169.742024486491,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171756_cube.fits,82.5,78.75,36230394.3670606,23792690.73710066,6218851.81497997,30011542.55208063,6019.168909995848,6019.168909995848,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171758_cube.fits,95.0,0.0,36105459.97352411,33331166.273644432,1387146.849939838,34718313.12358427,6008.781904306738,6008.781904306738,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171762_cube.fits,95.0,45.0,38609540.40560568,-36425526.35963213,37517533.3826189,1092007.0229867697,6213.657570674914,6213.657570674914,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171759_cube.fits,95.0,11.25,36295272.418331146,27313187.591816902,4491042.413257122,31804230.005074024,6024.555785975523,6024.555785975523,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171763_cube.fits,95.0,56.25,38593376.834269166,-30698490.484431624,34645933.659350395,3947443.174918771,6212.356785815603,6212.356785815603,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171760_cube.fits,95.0,22.5,37336777.34704733,4631314.249500275,16352731.548773527,20984045.7982738,6110.382749635846,6110.382749635846,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171764_cube.fits,95.0,67.5,37860320.15741229,-7941778.343016386,22901049.25021434,14959270.907197952,6153.074041275003,6153.074041275003,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171761_cube.fits,95.0,33.75,38191847.62185144,-21672939.06955957,29932393.34570551,8259454.276145935,6179.955309049689,6179.955309049689,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171765_cube.fits,95.0,78.75,36901754.4218775,18385007.19011724,9258373.615880132,27643380.80599737,6074.681425546322,6074.681425546322,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171767_cube.fits,107.5,0.0,36679040.1553067,28288986.78025353,4195026.687526584,32484013.46778012,6056.322329211574,6056.322329211574,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171771_cube.fits,107.5,45.0,38778563.86625785,-32681501.966623127,35730032.91644049,3048530.9498173594,6227.243681297356,6227.243681297356,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171768_cube.fits,107.5,11.25,36587268.380500376,26234551.937496603,5176358.221501887,31410910.15899849,6048.741057484638,6048.741057484638,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171772_cube.fits,107.5,56.25,38802659.59386855,-31385536.33723133,35094097.965549946,3708561.628318608,6229.178083332387,6229.178083332387,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171769_cube.fits,107.5,22.5,37428682.75271988,7881486.235573769,14773598.258573055,22655084.494146824,6117.898556916409,6117.898556916409,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171773_cube.fits,107.5,67.5,38341026.56296921,-13197491.802170752,25769259.18256998,12571767.380399227,6192.013126840834,6192.013126840834,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171770_cube.fits,107.5,33.75,38152710.66624057,-16381035.810622334,27266873.238431454,10885837.42780912,6176.788054178367,6176.788054178367,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171774_cube.fits,107.5,78.75,37466514.46081626,11182110.921349645,13142201.76973331,24324312.691082954,6120.989663511634,6120.989663511634,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171776_cube.fits,120.0,0.0,37104446.77185082,21809141.07480312,7647652.848523855,29456793.92332697,6091.3419516434,6091.3419516434,2369.3441
/home/thomasmc/nbs_in/pol/cubes/CRSA00171780_cube.fits,120.0,45.0,38579072.75138575,-27039340.45892328,32809206.605154514,5769866.146231234,6211.20541854685,6211.20541854685,2369.3441
