filepath,D_IMRANG,RET-ANG1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,wavelength_bin
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171813_cube.fits,57.5,11.25,53199893.37323713,1227974.479944706,25985959.446646214,27213933.92659092,7293.825702142678,7293.825702142678,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171817_cube.fits,57.5,56.25,55070281.93716717,210581.09841632843,27429850.41937542,27640431.517791748,7420.935381551787,7420.935381551787,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171814_cube.fits,57.5,22.5,53870727.86804199,1122750.7585773468,26373988.554732323,27496739.31330967,7339.668103398272,7339.668103398272,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171818_cube.fits,57.5,67.5,55333570.39915991,269753.3610281944,27531908.519065857,27801661.88009405,7438.653802883954,7438.653802883954,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171815_cube.fits,57.5,33.75,54337274.26225281,825461.3567352295,26755906.45275879,27581367.80949402,7371.382113433871,7371.382113433871,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171819_cube.fits,57.5,78.75,55593030.94719076,619480.9676709175,27486774.98975992,28106255.95743084,7456.073426891045,7456.073426891045,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171821_cube.fits,70.0,0.0,56181473.032877445,776566.622815609,27702453.20503092,28479019.827846527,7495.430143285804,7495.430143285804,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171825_cube.fits,70.0,45.0,56579257.694293976,1138095.7890987396,27720580.95259761,28858676.74169636,7521.918484954086,7521.918484954086,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171822_cube.fits,70.0,11.25,56297948.53440285,1243258.4532518387,27527345.040575504,28770603.493827343,7503.195888046829,7503.195888046829,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171826_cube.fits,70.0,56.25,56582244.0350852,702093.3748736382,27940075.33010578,28642168.70497942,7522.116991584563,7522.116991584563,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171823_cube.fits,70.0,22.5,56437900.16778326,1525654.5401597023,27456122.81381178,28981777.35397148,7512.516234111129,7512.516234111129,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171827_cube.fits,70.0,67.5,56606698.1867795,391671.6373763085,28107513.274701595,28499184.912077904,7523.742299333458,7523.742299333458,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171824_cube.fits,70.0,33.75,56496025.86107016,1478514.805531025,27508755.52776957,28987270.33330059,7516.38382874838,7516.38382874838,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171828_cube.fits,70.0,78.75,56674024.41984463,418088.2604560852,28127968.07969427,28546056.34015036,7528.215221408367,7528.215221408367,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171830_cube.fits,82.5,0.0,56846758.097988605,542503.6463170052,28152127.2258358,28694630.872152805,7539.678912128063,7539.678912128063,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171834_cube.fits,82.5,45.0,56944181.23333979,1650408.871732235,27646886.180803776,29297295.05253601,7546.136841678647,7546.136841678647,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171831_cube.fits,82.5,11.25,56902540.78930473,897056.4644889832,28002742.162407875,28899798.62689686,7543.37728005863,7543.37728005863,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171835_cube.fits,82.5,56.25,56930391.93813372,1281651.6798357964,27824370.12914896,29106021.80898476,7545.223120500394,7545.223120500394,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171832_cube.fits,82.5,22.5,56891135.66883659,1362146.0689573288,27764494.799939632,29126640.86889696,7542.6212730612815,7542.6212730612815,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171836_cube.fits,82.5,67.5,56921551.407777786,855410.3479909897,28033070.5298934,28888480.877884388,7544.63726151084,7544.63726151084,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171833_cube.fits,82.5,33.75,56946333.09348154,1678660.9580712318,27633836.067705154,29312497.025776383,7546.279420580816,7546.279420580816,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171837_cube.fits,82.5,78.75,56881843.368748665,510567.3094406128,28185638.029654022,28696205.33909464,7542.005261782086,7542.005261782086,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171839_cube.fits,95.0,0.0,57007518.31936741,590776.5047197342,28208370.90732384,28799147.41204357,7550.332331716758,7550.332331716758,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171843_cube.fits,95.0,45.0,57010275.372731686,1687965.1186652184,27661155.12703324,29349120.24569845,7550.514907788189,7550.514907788189,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171840_cube.fits,95.0,11.25,57005900.82009506,582128.7361946106,28211886.041950226,28794014.77814484,7550.225216514741,7550.225216514741,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171844_cube.fits,95.0,56.25,57027581.44991732,1716303.823287487,27655638.813314915,29371942.6366024,7551.660840498421,7551.660840498421,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171841_cube.fits,95.0,22.5,57023859.17473412,872129.9405975342,28075864.61706829,28947994.557665825,7551.414382401095,7551.414382401095,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171845_cube.fits,95.0,67.5,56958134.97825003,1367516.47803545,27795309.25010729,29162825.72814274,7547.061347190046,7547.061347190046,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171842_cube.fits,95.0,33.75,57002691.71834326,1345638.3999562263,27828526.65919352,29174165.059149746,7550.012696568348,7550.012696568348,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171846_cube.fits,95.0,78.75,56993944.323728085,884181.6984620094,28054881.31263304,28939063.011095047,7549.43337766008,7549.43337766008,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171848_cube.fits,107.5,0.0,56941107.92006874,896437.0871686935,28022335.416450024,28918772.50361872,7545.9332040555955,7545.9332040555955,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171852_cube.fits,107.5,45.0,56910325.10848904,1221402.3007392883,27844461.40387488,29065863.70461416,7543.893232839992,7543.893232839992,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171849_cube.fits,107.5,11.25,56952801.765165806,536425.1480240822,28208188.30857086,28744613.456594944,7546.708008474013,7546.708008474013,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171853_cube.fits,107.5,56.25,56914363.6164546,1580862.3550944328,27666750.630680084,29247612.98577452,7544.16089545117,7544.16089545117,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171850_cube.fits,107.5,22.5,56902724.541354656,485898.6754403114,28208412.93295717,28694311.608397484,7543.389459742527,7543.389459742527,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171854_cube.fits,107.5,67.5,56913039.23960352,1641115.841415882,27635961.69909382,29277077.5405097,7544.073119979917,7544.073119979917,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171851_cube.fits,107.5,33.75,56894776.79098511,755949.2115459442,28069413.78971958,28825363.00126553,7542.862639010809,7542.862639010809,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171855_cube.fits,107.5,78.75,56903595.7928195,1330366.091890812,27786614.850464344,29116980.94235516,7543.447208857467,7543.447208857467,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171857_cube.fits,120.0,0.0,56861045.70720053,1195459.209850788,27832793.24867487,29028252.458525658,7540.626347141232,7540.626347141232,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171861_cube.fits,120.0,45.0,56780118.92224598,551399.8015003204,28114359.56037283,28665759.36187315,7535.258384570895,7535.258384570895,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171858_cube.fits,120.0,11.25,56864039.6319685,774495.861207962,28044771.885380268,28819267.74658823,7540.824864162309,7540.824864162309,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171862_cube.fits,120.0,56.25,56794813.5136323,993454.8098759652,27900679.351878166,28894134.16175413,7536.233377067903,7536.233377067903,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171859_cube.fits,120.0,22.5,56848208.45517778,385712.9278969765,28231247.763640404,28616960.69153738,7539.775093142884,7539.775093142884,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171863_cube.fits,120.0,67.5,56769645.39269829,1359247.047244072,27705199.172727108,29064446.21997118,7534.563384344065,7534.563384344065,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171860_cube.fits,120.0,33.75,56844132.31514835,288191.7554359436,28277970.279856205,28566162.03529215,7539.504779171398,7539.504779171398,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171864_cube.fits,120.0,78.75,56801205.94993925,1438091.6723294258,27681557.13880492,29119648.81113434,7536.657478613397,7536.657478613397,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171866_cube.fits,132.5,0.0,56739797.17710638,1181503.8813414574,27779146.64788246,28960650.52922392,7532.582371080079,7532.582371080079,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171870_cube.fits,132.5,45.0,56646586.01162481,51900.0765004158,28297342.9675622,28349243.04406261,7526.392629382605,7526.392629382605,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171867_cube.fits,132.5,11.25,56672576.62930727,949478.6945090294,27861548.96739912,28811027.66190815,7528.119063172903,7528.119063172903,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171871_cube.fits,132.5,56.25,56641286.04402876,296567.9750981331,28172359.03446532,28468927.00956345,7526.040528991905,7526.040528991905,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171868_cube.fits,132.5,22.5,56715096.569180965,578828.5316662788,28068134.018757343,28646962.550423626,7530.94260827826,7530.94260827826,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171872_cube.fits,132.5,67.5,56666013.77828693,663476.9427995682,28001268.417743683,28664745.36054325,7527.6831613908225,7527.6831613908225,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171869_cube.fits,132.5,33.75,56693691.766195774,194801.1485857964,28249445.30880499,28444246.457390785,7529.521350404405,7529.521350404405,1374.6208
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171873_cube.fits,132.5,78.75,56651059.62195349,1040495.993841648,27805281.81405592,28845777.807897568,7526.689818369924,7526.689818369924,1374.6208
