filepath,D_IMRANG,RET-ANG1,RET-POS1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,p,a,wavelength_bin
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154119_cube.fits,85.34017,0.0,83.54,3203782.245717356,-104149.50255047625,1653965.874133916,1549816.37158344,1246.27650688507,1246.27650688507,83.76331306430977,41.6499689,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154120_cube.fits,85.31183,45.0,128.48,3334323.176883548,-122950.52083932913,1728636.8488614385,1605686.328022109,948.9837157929818,948.9837157929818,83.74407858219183,41.59359128,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154121_cube.fits,85.28045,22.5,105.95,3330463.63052248,-79641.45731315459,1705052.543917817,1625411.0866046625,843.8835869012488,843.8835869012488,83.72482039184797,41.5371886,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154122_cube.fits,85.2487,67.5,150.86,3582875.872510981,-151869.75865674205,1867372.8155838607,1715503.0569271194,862.2647878892163,862.2647878892163,83.70601296872697,41.48121892,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154123_cube.fits,85.20783,0.0,83.3,3425269.6187876444,-107688.93711907812,1766479.2779533612,1658790.340834283,1003.3975120986552,1003.3975120986552,83.68694315539884,41.42484729,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154124_cube.fits,85.18377,45.0,128.24,3184272.910431098,-94702.19213295984,1639487.5512820291,1544785.3591490693,1053.8521460314944,1053.8521460314944,83.66759945680288,41.36845318,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154125_cube.fits,85.17031,22.5,105.65,2915897.811448388,-39805.2657085124,1477851.5385784502,1438046.2728699378,894.6164443029562,894.6164443029562,83.64852651952278,41.31248544,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154126_cube.fits,85.14442,67.5,150.62,2522661.530474674,-121913.41553870589,1322287.47300669,1200374.057467984,561.0593772403826,561.0593772403826,83.62973518583892,41.2564907,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154127_cube.fits,85.11367,0.0,83.03,2400496.8835825203,-69060.70975822932,1234778.796670375,1165718.0869121456,522.6067352514384,522.6067352514384,83.61047258007365,41.20011867,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154128_cube.fits,85.08685,45.0,127.94,2544245.1668307628,-80708.01777564967,1312476.5923032062,1231768.5745275563,552.6597555418683,552.6597555418683,83.5914330891988,41.14377656,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154129_cube.fits,85.0535,22.5,105.41,2437610.809349193,-41440.07076981827,1239525.440059506,1198085.3692896876,527.5669459309787,527.5669459309787,83.57235478286252,41.08777256,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154130_cube.fits,85.03138,67.5,150.32,2341404.316391177,-109095.60294174009,1225249.959666459,1116154.3567247188,527.3201405583086,527.3201405583086,83.55350122708396,41.0314193,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154131_cube.fits,85.0009,0.0,82.79,2457909.3955026106,-77277.79517099587,1267593.5953368032,1190315.8001658074,563.1692111853955,563.1692111853955,83.53430752867408,40.9750841,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154132_cube.fits,84.97152,45.0,127.7,2039677.040332621,-68335.82014858117,1054006.430240601,985670.61009202,439.20982340236617,439.20982340236617,83.51533865538659,40.91908186,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154133_cube.fits,84.9467,22.5,105.14,1789626.204934483,-35370.73431318172,912498.4696238324,877127.7353106505,369.5643944743296,369.5643944743296,83.49609627041903,40.86274744,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154134_cube.fits,84.91329,67.5,150.08,1499445.029384941,-78041.58954286855,788743.3094639049,710701.7199210364,289.18881466056376,289.18881466056376,83.47732489910167,40.80640497,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154135_cube.fits,84.88909,0.0,82.49,976958.7831164978,-32893.75159617979,504926.2673563388,472032.515760159,156.35331526263656,156.35331526263656,83.45823210207908,40.75040866,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154136_cube.fits,84.86504,45.0,127.46,807457.3371534313,-25175.17382305482,416316.2554882431,391141.08166518825,122.92975427988972,122.92975427988972,83.43928241917061,40.6940831,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154137_cube.fits,84.83539,22.5,104.9,887270.1115353531,-14802.578419655678,451036.3449775044,436233.7665578487,138.56026481296433,138.56026481296433,83.42018062159512,40.63811658,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154138_cube.fits,84.80801,67.5,149.81,718089.0117785356,-35525.90373475425,376807.4577566449,341281.5540218907,103.70148274191598,103.70148274191598,83.40110764524485,40.58176091,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154139_cube.fits,84.77698,0.0,82.25,725168.1608262891,-28504.24565617245,376836.2032412308,348331.95758505835,103.65103001704334,103.65103001704334,83.3822910727197,40.5254452,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154140_cube.fits,84.75099,45.0,127.19,798294.2980631851,-30636.59974899649,414465.4489060908,383828.8491570943,119.03982486060175,119.03982486060175,83.36324402855864,40.46909545,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154141_cube.fits,84.71447,22.5,104.62,813765.6469777785,-16788.696279191587,415277.171628485,398488.47534929344,122.11827934500052,122.11827934500052,83.34408517199321,40.41313086,1199.6971
/home/thomasmc/charis_mm_testing/HD25532/cubes/data/raw/good_frames/good_CRSA00154142_cube.fits,84.69241,67.5,149.56,1114679.6204671776,-52694.22990419576,583686.9251856867,530992.6952814909,182.81400570449543,182.81400570449543,83.32518720534114,40.35720211,1199.6971
