filepath,D_IMRANG,RET-ANG1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,p,a,wavelength_bin
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155481_flat_cube.fits,86.33203,0.0,862902.2237026695,-48317.93295904796,455610.0783308587,407292.1453718108,1420.6173592113837,1420.6173592113837,78.29422089232283,43.63497933,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155482_flat_cube.fits,86.30883,45.0,870046.507648425,-40013.075903377205,455029.7917759011,415016.7158725239,1594.4474943674013,1594.4474943674013,78.28984909839794,43.59460382,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155483_flat_cube.fits,86.29572,22.5,917907.3117012384,-41301.009393321176,479604.1605472798,438303.1511539586,1619.282367378884,1619.282367378884,78.2853466221891,43.55386223,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155484_flat_cube.fits,86.27276,67.5,911800.4482420118,-60938.18847855262,486369.3183602822,425431.1298817296,1540.3631087970678,1540.3631087970678,78.28088650008564,43.51350481,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155485_flat_cube.fits,86.25071,0.0,919278.2963018712,-59673.6163540748,489475.9563279729,429802.3399738981,1543.990759645153,1543.990759645153,78.27648502754545,43.47315017,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155486_flat_cube.fits,86.22913,45.0,908174.9115816626,-49205.86632479855,478690.3889532306,429484.522628432,1541.2968623567474,1541.2968623567474,78.2720136500403,43.4327927,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155487_flat_cube.fits,86.19789,22.5,926418.2104635348,-43360.76248654572,484889.4864750403,441528.7239884946,1550.7801891458075,1550.7801891458075,78.26751012460018,43.39204501,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155488_flat_cube.fits,86.17998,67.5,910717.1056875256,-62790.1905014168,486753.6480944712,423963.4575930544,1547.5135288931544,1547.5135288931544,78.26309522682786,43.3517095,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155489_flat_cube.fits,86.17004,0.0,929939.8253970456,-54288.62581300293,492114.22560502426,437825.5997920213,1447.3904810199017,1447.3904810199017,78.25851523811603,43.31094563,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155490_flat_cube.fits,86.13742,45.0,916091.0284430332,-50828.82788657432,483459.9281648038,432631.1002782295,1511.1956094661111,1511.1956094661111,78.25402807107814,43.27100108,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155491_flat_cube.fits,86.12306,22.5,947401.2710809167,-45956.52722546342,496678.8991531901,450722.37192772666,1634.0741580843985,1634.0741580843985,78.2495722550986,43.22986206,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155492_flat_cube.fits,86.11208,67.5,914058.3585158244,-54644.92482480558,484351.6416703151,429706.7168455095,1629.6601374488869,1629.6601374488869,78.24503571827792,43.18952833,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155493_flat_cube.fits,86.08623,0.0,926040.9130696084,-53742.540392603085,489891.72673110577,436149.1863385027,1628.6665132555815,1628.6665132555815,78.24051738939188,43.14955377,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155494_flat_cube.fits,86.06908,45.0,919000.1280129204,-48874.749018860806,483937.4385158905,435062.6894970297,1668.2553528185545,1668.2553528185545,78.23603417470109,43.10844276,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155495_flat_cube.fits,86.05202,22.5,941126.2204270092,-42576.61209838814,491851.4162626987,449274.80416431057,1662.908912476712,1662.908912476712,78.23141391895884,43.06808196,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155496_flat_cube.fits,86.0271,67.5,929976.3397628694,-63396.29622099886,496686.3179919341,433290.0217709353,1573.8916406261503,1573.8916406261503,78.2269027778531,43.02812831,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155497_flat_cube.fits,86.00926,0.0,902187.5483621008,-55114.580626570736,478651.0644943357,423536.483867765,1382.001611399649,1382.001611399649,78.22240878676297,42.9873923,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155498_flat_cube.fits,85.97177,45.0,897810.3601650982,-52532.057666675246,475171.2089158867,422639.15124921146,1343.6544104007503,1343.6544104007503,78.21778088350977,42.94703846,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155499_flat_cube.fits,85.96808,22.5,916119.705263724,-41765.61279373348,478942.6590287287,437177.0462349952,1630.143626453475,1630.143626453475,78.21323111859537,42.90670258,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155500_flat_cube.fits,85.94171,67.5,907473.493184837,-55968.37813190645,481720.9356583717,425752.5575264653,1530.7874532007295,1530.7874532007295,78.20868127691237,42.8659565,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155501_flat_cube.fits,85.91924,0.0,904127.5055871122,-53726.00247027259,478926.7540286924,425200.7515584198,1476.607156594931,1476.607156594931,78.20405930699067,42.82562263,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155502_flat_cube.fits,85.90733,45.0,921196.725992344,-47538.70717223635,484367.7165822903,436829.0094100539,1550.7687715240045,1550.7687715240045,78.19943699043641,42.7852637,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155503_flat_cube.fits,85.87564,22.5,904012.8426684496,-48019.77393408044,476016.3083012651,427996.5343671847,1445.0341646064312,1445.0341646064312,78.19487997727445,42.74415644,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155504_flat_cube.fits,85.86062,67.5,911480.741594748,-67095.5314833573,489288.1365390526,422192.6050556953,1445.2720652721323,1445.2720652721323,78.19019861235186,42.70380335,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155505_flat_cube.fits,85.84323,0.0,932065.1146569856,-58404.027626447554,495234.5711417165,436830.54351526895,1591.1312126919004,1591.1312126919004,78.18559927695196,42.66386342,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155506_flat_cube.fits,85.82027,45.0,911881.2130145736,-51016.51528636442,481448.864150469,430432.3488641046,1511.1886594388973,1511.1886594388973,78.18106152947168,42.62311621,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155507_flat_cube.fits,85.79584,22.5,935507.7102834872,-49307.5299073573,492407.6200954222,443100.0901880649,1519.3560998511082,1519.3560998511082,78.17639576694751,42.58278922,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155508_flat_cube.fits,85.78275,67.5,922812.58310115,-61272.43245567521,492042.5077784127,430770.0753227375,1333.187248325473,1333.187248325473,78.17168216736339,42.54244109,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155509_flat_cube.fits,85.75445,0.0,914037.8350765324,-57253.12333149812,485645.4792040152,428392.3558725171,1368.5552370372004,1368.5552370372004,78.16711997815986,42.50172277,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155510_flat_cube.fits,85.73457,45.0,874669.1051047961,-46664.672299340426,460666.88870206825,414002.2164027278,1299.891128695475,1299.891128695475,78.1623890387663,42.46137559,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155511_flat_cube.fits,85.68866,22.5,909019.5403545102,-49134.13402753428,479076.83719102223,429942.703163488,1459.7307253343008,1459.7307253343008,78.15770023002287,42.42064925,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155512_flat_cube.fits,85.68773,67.5,910186.2599228916,-55999.162072440726,483092.71099766623,427093.5489252255,1403.982400728295,1403.982400728295,78.15309356766501,42.37993489,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155513_flat_cube.fits,85.65549,0.0,925816.0250241796,-57457.98104226228,491637.0030332209,434179.0219909586,1562.9727345446126,1562.9727345446126,78.14838143580286,42.3399747,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155514_flat_cube.fits,85.65507,45.0,947381.3365380848,-53285.55792976555,500333.4472339252,447047.8893041597,1593.9797442652866,1593.9797442652866,78.1436518530681,42.29925722,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155515_flat_cube.fits,85.63916,22.5,920070.499325766,-47433.62224390509,483752.06078483554,436318.43854093045,1435.667559158358,1435.667559158358,78.13906030930836,42.25891094,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155516_flat_cube.fits,85.61462,67.5,924274.158920148,-59420.26432139502,491847.2116207714,432426.9472993764,1513.8022894405442,1513.8022894405442,78.13428391917878,42.21820449,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155517_flat_cube.fits,85.59363,0.0,920947.933837475,-55095.05121585704,488021.492526666,432926.441310809,1484.4485757289883,1484.4485757289883,78.1295167713736,42.17824427,2369.3441
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155518_flat_cube.fits,85.58079,45.0,914543.3618960244,-51661.62139429094,483102.4916451577,431440.8702508668,1540.540629840546,1540.540629840546,78.12489185598383,42.1375358,2369.3441
