filepath,D_IMRANG,RET-ANG1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,p,a,wavelength_bin
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155481_cube.fits,86.33203,0.0,6303817.708538948,-257733.0292433012,3280775.368891124,3023042.339647823,7868.770677336243,7868.770677336243,78.29422089232283,43.63497933,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155482_cube.fits,86.30883,45.0,5776075.011190085,-205571.03391228945,2990823.022551188,2785251.988638898,10618.19897078613,10618.19897078613,78.28984909839794,43.59460382,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155483_cube.fits,86.29572,22.5,6491014.593551151,-136343.1699779313,3313678.8817645414,3177335.71178661,11285.75383370982,11285.75383370982,78.2853466221891,43.55386223,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155484_cube.fits,86.27276,67.5,6839212.49411845,-273927.77254613675,3556570.133332293,3282642.3607861567,9826.464263613225,9826.464263613225,78.28088650008564,43.51350481,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155485_cube.fits,86.25071,0.0,7008290.266090796,-236791.43856249092,3622540.852326644,3385749.4137641527,9861.740742142943,9861.740742142943,78.27648502754545,43.47315017,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155486_cube.fits,86.22913,45.0,6750627.440921046,-178554.80412077298,3464591.122520909,3286036.318400136,9594.745557790024,9594.745557790024,78.2720136500403,43.4327927,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155487_cube.fits,86.19789,22.5,6973954.746166844,-127013.30972349178,3550484.027945168,3423470.718221676,9969.400167683403,9969.400167683403,78.26751012460018,43.39204501,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155488_cube.fits,86.17998,67.5,6808982.694792678,-359003.499182526,3583993.096987602,3224989.597805076,10036.524896391144,10036.524896391144,78.26309522682786,43.3517095,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155489_cube.fits,86.17004,0.0,7408292.942877136,-239247.64542684372,3823770.2941519897,3584522.648725146,8198.61517961338,8198.61517961338,78.25851523811603,43.31094563,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155490_cube.fits,86.13742,45.0,7119978.976667119,-174887.8183504888,3647433.397508804,3472545.5791583154,9223.95641740387,9223.95641740387,78.25402807107814,43.27100108,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155491_cube.fits,86.12306,22.5,7127170.936689658,-202917.8803198547,3665044.408504756,3462126.528184901,10872.590215098287,10872.590215098287,78.2495722550986,43.22986206,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155492_cube.fits,86.11208,67.5,6523011.002031174,-245413.7593734413,3384212.3807023074,3138798.621328866,10408.364825375422,10408.364825375422,78.24503571827792,43.18952833,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155493_cube.fits,86.08623,0.0,6927656.700512348,-220013.87447070377,3573835.287491526,3353821.413020822,10266.392856736706,10266.392856736706,78.24051738939188,43.14955377,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155494_cube.fits,86.06908,45.0,6527006.1002163775,-237037.4248381257,3382021.762527252,3144984.337689126,11093.421096386975,11093.421096386975,78.23603417470109,43.10844276,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155495_cube.fits,86.05202,22.5,6919540.080251522,-227076.19412657805,3573308.13718905,3346231.943062472,11620.081436514429,11620.081436514429,78.23141391895884,43.06808196,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155496_cube.fits,86.0271,67.5,7012857.461873747,-268899.3142370838,3640878.388055416,3371979.073818332,9966.662795176417,9966.662795176417,78.2269027778531,43.02812831,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155497_cube.fits,86.00926,0.0,7102914.952110648,-246355.6282034987,3674635.290157073,3428279.6619535745,7667.903242925405,7667.903242925405,78.22240878676297,42.9873923,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155498_cube.fits,85.97177,45.0,6990032.001693683,-192008.5285976017,3591020.265145642,3399011.7365480405,7523.461600503757,7523.461600503757,78.21778088350977,42.94703846,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155499_cube.fits,85.96808,22.5,6524674.486390822,-183938.84559697425,3354306.6659938977,3170367.8203969235,10832.056143945763,10832.056143945763,78.21323111859537,42.90670258,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155500_cube.fits,85.94171,67.5,6767019.125029584,-308611.0018338505,3537815.063431717,3229204.061597867,9384.045668955114,9384.045668955114,78.20868127691237,42.8659565,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155501_cube.fits,85.91924,0.0,6989711.5582825225,-233907.66078820825,3611809.609535365,3377901.948747157,8482.31372612219,8482.31372612219,78.20405930699067,42.82562263,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155502_cube.fits,85.90733,45.0,7014023.265116593,-242363.7779608951,3628193.521538744,3385829.743577849,9625.999764643968,9625.999764643968,78.19943699043641,42.7852637,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155503_cube.fits,85.87564,22.5,7234664.804032772,-216689.43571930288,3725677.119876037,3508987.6841567345,8152.8740957325135,8152.8740957325135,78.19487997727445,42.74415644,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155504_cube.fits,85.86062,67.5,7320256.275759258,-299241.07573803514,3809748.675748647,3510507.600010612,8107.993157710724,8107.993157710724,78.19019861235186,42.70380335,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155505_cube.fits,85.84323,0.0,7157712.010186527,-318586.1012226478,3738149.055704588,3419562.95448194,10618.215909921577,10618.215909921577,78.18559927695196,42.66386342,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155506_cube.fits,85.82027,45.0,7148877.398935903,-240313.73388739536,3694595.566411649,3454281.832524254,8803.241477976071,8803.241477976071,78.18106152947168,42.62311621,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155507_cube.fits,85.79584,22.5,7567889.016679231,-210926.5311273625,3889407.773903297,3678481.2427759343,8727.377073560849,8727.377073560849,78.17639576694751,42.58278922,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155508_cube.fits,85.78275,67.5,8004741.662773704,-390056.96494666487,4197399.3138601845,3807342.34891352,6494.811123949167,6494.811123949167,78.17168216736339,42.54244109,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155509_cube.fits,85.75445,0.0,7409696.661197338,-293638.8590034102,3851667.760100374,3558028.901096964,8352.051328475123,8352.051328475123,78.16711997815986,42.50172277,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155510_cube.fits,85.73457,45.0,6903792.043010004,-236397.87140280427,3570094.957206404,3333697.0858036,7070.673958245592,7070.673958245592,78.1623890387663,42.46137559,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155511_cube.fits,85.68866,22.5,7075454.239985893,-197182.2162498012,3636318.228117847,3439136.0118680457,8630.290726040368,8630.290726040368,78.15770023002287,42.42064925,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155512_cube.fits,85.68773,67.5,7208992.285906009,-287018.3241476552,3748005.305026832,3460986.980879177,8488.445788193472,8488.445788193472,78.15309356766501,42.37993489,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155513_cube.fits,85.65549,0.0,7099923.584530709,-251616.4829604705,3675770.03374559,3424153.55078512,10073.726403332092,10073.726403332092,78.14838143580286,42.3399747,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155514_cube.fits,85.65507,45.0,7711199.588238675,-202120.59715950536,3956660.0926990905,3754539.495539585,9323.07673798588,9323.07673798588,78.1436518530681,42.29925722,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155515_cube.fits,85.63916,22.5,7622679.957323342,-187264.1579282144,3904972.057625778,3717707.899697564,8156.936216707434,8156.936216707434,78.13906030930836,42.25891094,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155516_cube.fits,85.61462,67.5,7474333.095281535,-306336.19446455035,3890334.6448730426,3583998.450408492,8745.376242850843,8745.376242850843,78.13428391917878,42.21820449,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155517_cube.fits,85.59363,0.0,7507425.120114287,-264229.0522606927,3885827.08618749,3621598.033926797,8845.402815705502,8845.402815705502,78.1295167713736,42.17824427,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155518_cube.fits,85.58079,45.0,6917315.791913191,-185501.368263355,3551408.5800882727,3365907.2118249177,9704.39748758607,9704.39748758607,78.12489185598383,42.1375358,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155519_cube.fits,85.56015,22.5,7294348.710450005,-152310.0667455732,3723329.3885977888,3571019.321852216,9484.331767989892,9484.331767989892,78.12016318829478,42.09718835,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155520_cube.fits,85.54023,67.5,7389245.810213581,-342302.07695234055,3865773.943582961,3523471.8666306203,8465.240271306551,8465.240271306551,78.11534136097137,42.0568699,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155521_cube.fits,85.51976,0.0,7453829.830468724,-280030.3391560544,3866930.0848123888,3586899.7456563343,8257.944292862765,8257.944292862765,78.11067474312208,42.01613424,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155522_cube.fits,85.48445,45.0,7425567.9421125455,-202403.92526296992,3813985.9336877577,3611582.008424788,7536.511013880915,7536.511013880915,78.10589395579727,41.97544168,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155523_cube.fits,85.48269,22.5,7560568.887478811,-207106.1287113736,3883837.508095092,3676731.379383719,7456.778194090333,7456.778194090333,78.1010740794042,41.93508413,1629.5663
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155524_cube.fits,85.46347,67.5,7474016.328684119,-303346.2698652507,3888681.299274685,3585335.029409434,8912.379436345282,8912.379436345282,78.09638652947262,41.89477864,1629.5663
