filepath,D_IMRANG,RET-ANG1,RET-POS1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,p,a,wavelength_bin
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155278_flat_cube.fits,88.90286,0.0,94.76,2303602.8284698334,-128163.51353885049,1215883.171004342,1087719.6574654914,5052.914161370828,5052.914161370828,91.79203064543496,48.79694762,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155279_flat_cube.fits,88.89295,45.0,139.68,2344032.9543680875,-86783.82319876435,1215408.388783426,1128624.5655846617,4649.695562106798,4649.695562106798,91.77021868915728,48.75875485,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155280_flat_cube.fits,88.87652,22.5,117.11,2471576.9784252737,-72112.59837065334,1271844.7883979636,1199732.1900273105,4216.107032851576,4216.107032851576,91.74819257646824,48.7209022,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155281_flat_cube.fits,88.85222,67.5,162.08,2414222.2928149533,-159738.70435982686,1286980.4985873902,1127241.7942275633,4356.509795364414,4356.509795364414,91.72617461743629,48.68265241,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155282_flat_cube.fits,88.83179,0.0,94.53,2316724.2660805183,-139185.96168508125,1227955.1138828,1088769.1521977186,5121.924680905477,5121.924680905477,91.70468096955328,48.64479662,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155283_flat_cube.fits,88.82009,45.0,139.48,2399841.059155456,-107225.72897241496,1253533.3940639351,1146307.6650915202,4314.378798079725,4314.378798079725,91.68255861000466,48.60694185,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155284_flat_cube.fits,88.79965,22.5,116.91,2322573.099801727,-68093.1889003967,1195333.144351062,1127239.9554506652,4913.026150505535,4913.026150505535,91.66112149153363,48.568737,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155285_flat_cube.fits,88.78118,67.5,161.87,2404917.402770526,-144731.83122194302,1274824.6169962345,1130092.7857742915,4591.81416402172,4591.81416402172,91.63948275593756,48.53090822,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155286_flat_cube.fits,88.75899,0.0,94.34,2415023.661707846,-136000.54461571807,1275512.103161782,1139511.558546064,4316.233328293342,4316.233328293342,91.61740177406794,48.49304343,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155287_flat_cube.fits,88.73507,45.0,139.3,2425333.1079355115,-83751.65050332737,1254542.379219419,1170790.728716092,4168.494597481068,4168.494597481068,91.59592791071748,48.45480044,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155288_flat_cube.fits,88.72295,22.5,116.71,2387416.691133301,-55263.95059155091,1221340.3208624255,1166076.3702708748,4486.360431108206,4486.360431108206,91.57420189155586,48.4169366,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155289_flat_cube.fits,88.70411,67.5,161.67,2540882.547479588,-171036.91240738868,1355959.7299434885,1184922.8175360996,3424.572664602845,3424.572664602845,91.55248102216736,48.37908676,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155290_flat_cube.fits,88.68716,0.0,94.15,2568423.2406524373,-150348.68884995836,1359385.9647511975,1209037.2759012394,3222.427357872722,3222.427357872722,91.53093985127953,48.34087578,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155291_flat_cube.fits,88.66655,45.0,139.08,2459662.079469693,-87010.69629991637,1273336.3878848045,1186325.691584888,3802.654299873988,3802.654299873988,91.50936926558543,48.30304393,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155292_flat_cube.fits,88.64505,22.5,116.52,2360245.516818368,-92068.49703118508,1226157.0069247764,1134088.5098935913,4222.309197331436,4222.309197331436,91.48741088037605,48.26479988,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155293_flat_cube.fits,88.62748,67.5,161.5,2298713.8431528504,-153800.2396262423,1226257.0413895464,1072456.801763304,4597.740027228288,4597.740027228288,91.46567070921002,48.22692885,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155294_flat_cube.fits,88.6076,0.0,93.92,2412712.660961184,-139700.23576492793,1276206.448363056,1136506.212598128,4395.571944014024,4395.571944014024,91.44443843123472,48.18906085,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155295_flat_cube.fits,88.5862,45.0,138.91,2396652.466762673,-92641.94235889404,1244647.2045607837,1152005.2622018897,4548.490842282966,4548.490842282966,91.4224550943778,48.15084371,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155296_flat_cube.fits,88.57253,22.5,116.33,2425801.832407212,-96060.05098686484,1260930.9416970382,1164870.8907101734,3954.322863289468,3954.322863289468,91.40130908585334,48.1130077,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155297_flat_cube.fits,88.55202,67.5,161.29,2429172.786420329,-155364.67595907953,1292268.7311897045,1136904.055230625,3900.382335646401,3900.382335646401,91.3799870444799,48.07516676,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155298_flat_cube.fits,88.53269,0.0,93.76,2461333.0624667634,-114342.9937372352,1287838.0281019993,1173495.034364764,4199.409651042829,4199.409651042829,91.35814306534198,48.03729387,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155299_flat_cube.fits,88.51616,45.0,138.69,2367466.744894203,-108184.730267697,1237825.73758095,1129641.007313253,4242.23807681145,4242.23807681145,91.33688574258626,47.99905171,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155300_flat_cube.fits,88.4891,22.5,116.14,2373306.665648504,-89625.2664026902,1231465.966025597,1141840.6996229067,4218.018439029507,4218.018439029507,91.31547631255648,47.96118258,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155301_flat_cube.fits,88.47053,67.5,161.08,2317393.58402462,-129726.75092365524,1223560.1674741372,1093833.416550482,4908.940008513894,4908.940008513894,91.29376830674524,47.92333245,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155302_flat_cube.fits,88.45544,0.0,93.53,2268109.973036608,-128026.72980151884,1198068.351419063,1070041.6216175442,4970.252535611774,4970.252535611774,91.27248291636576,47.88512327,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155303_flat_cube.fits,88.41627,45.0,138.49,2383243.264583027,-106114.8078277607,1244679.0362053935,1138564.228377633,4748.10975149764,4748.10975149764,91.25106620206944,47.84727316,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155304_flat_cube.fits,88.41651,22.5,115.94,2334664.9940101244,-82711.02592087444,1208688.0099654994,1125976.984044625,5174.115144499278,5174.115144499278,91.22963555449516,47.80940402,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155305_flat_cube.fits,88.38976,67.5,160.89,2287919.870698534,-149221.02895956696,1218570.4498290506,1069349.4208694836,5105.986257635534,5105.986257635534,91.20825486260422,47.77152789,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155306_flat_cube.fits,88.36207,0.0,93.36,2389170.010761042,-145350.58737756335,1267260.2990693029,1121909.7116917395,4824.954081234695,4824.954081234695,91.18680033013018,47.73328963,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155307_flat_cube.fits,88.36207,45.0,138.32,2264955.8453225866,-115128.69319070992,1190042.2692566484,1074913.5760659385,5977.12006486403,5977.12006486403,91.16508898172152,47.6950723,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155308_flat_cube.fits,88.33826,22.5,115.76,2320157.6240265872,-76168.06481169979,1198162.8444191434,1121994.7796074436,5690.687738280633,5690.687738280633,91.14367399629222,47.65758019,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155309_flat_cube.fits,88.32328,67.5,160.7,2376177.605059504,-155851.45845063985,1266014.5317550716,1110163.0733044315,5293.068385495359,5293.068385495359,91.12281165954354,47.61937584,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155310_flat_cube.fits,88.29652,0.0,93.16,2371905.689928232,-111919.68667820656,1241912.688303219,1129993.0016250124,4994.147464240416,4994.147464240416,91.10109252918394,47.5811215,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155311_flat_cube.fits,88.28075,45.0,138.12,2387096.9214959936,-99733.70252108108,1243415.3120085374,1143681.6094874565,4862.3146524046015,4862.3146524046015,91.0802296330089,47.54362042,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155312_flat_cube.fits,88.25597,22.5,115.55,2301587.2814319395,-60351.47519402369,1180969.3783129817,1120617.903118958,5459.906751862054,5459.906751862054,91.05892314035604,47.50538499,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155313_flat_cube.fits,88.23767,67.5,160.52,2392713.242565413,-164910.47780400375,1278811.8601847086,1113901.3823807049,4326.932106466847,4326.932106466847,91.03729904823916,47.46788679,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155314_flat_cube.fits,88.22473,0.0,92.97,2468376.5634949813,-133127.31452988624,1300751.9390124336,1167624.6244825474,4245.582392119827,4245.582392119827,91.01644680247516,47.42930721,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155315_flat_cube.fits,88.19856,45.0,137.92,2357032.9816674097,-75070.90580381523,1216051.9437356126,1140981.037931797,4473.082494608091,4473.082494608091,90.995132908788,47.39146477,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155316_flat_cube.fits,88.19066,22.5,115.35,2213883.889151748,-78839.91498786141,1146361.9020698045,1067521.987081943,5480.765390009845,5480.765390009845,90.97377923499526,47.35357552,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155317_flat_cube.fits,88.17254,67.5,160.3,2291006.738290146,-148128.1412641595,1219567.4397771526,1071439.2985129931,4595.891946412399,4595.891946412399,90.9527268007009,47.31533604,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155318_flat_cube.fits,88.14841,0.0,92.78,2318016.9922116995,-126262.43331313576,1222139.7127624175,1095877.2794492815,4617.076154804111,4617.076154804111,90.93155801679146,47.27746066,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155319_flat_cube.fits,88.12521,45.0,137.71,2293832.164666758,-81885.46811258164,1187858.8163896697,1105973.348277088,4835.05237333015,4835.05237333015,90.91012085403864,47.2396042,1804.7021
