filepath,D_IMRANG,RET-ANG1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,p,a,wavelength_bin
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155278_flat_cube.fits,88.90286,0.0,3908115.859379182,-127271.76856926225,2017693.8139742224,1890422.04540496,7827.225623568654,7827.225623568654,91.79203064543496,48.79694762,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155279_flat_cube.fits,88.89295,45.0,3943225.925458698,-48162.14807221806,1995694.036765458,1947531.88869324,7692.42695846988,7692.42695846988,91.77021868915728,48.75875485,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155280_flat_cube.fits,88.87652,22.5,4022052.126641564,-15415.420872488525,2018733.7737570263,2003318.3528845373,7493.001588236343,7493.001588236343,91.74819257646824,48.7209022,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155281_flat_cube.fits,88.85222,67.5,3918882.920172461,-170465.44789173873,2044674.1840321,1874208.736140361,7349.871004537442,7349.871004537442,91.72617461743629,48.68265241,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155282_flat_cube.fits,88.83179,0.0,4005378.968104001,-118692.67089404444,2062035.8194990228,1943343.1486049783,8018.917853596713,8018.917853596713,91.70468096955328,48.64479662,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155283_flat_cube.fits,88.82009,45.0,3937737.523712216,-60977.86065856763,1999357.692185392,1938379.831526824,7327.991442716219,7327.991442716219,91.68255861000466,48.60694185,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155284_flat_cube.fits,88.79965,22.5,3912791.699546056,-7032.581893561641,1959912.1407198089,1952879.558826247,7616.422633204415,7616.422633204415,91.66112149153363,48.568737,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155285_flat_cube.fits,88.78118,67.5,4013214.8378137546,-186918.842014594,2100066.8399141743,1913147.9978995805,7739.911610130517,7739.911610130517,91.63948275593756,48.53090822,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155286_flat_cube.fits,88.75899,0.0,3971849.2716895686,-134168.0334933719,2053008.6525914704,1918840.6190980985,7357.036980457778,7357.036980457778,91.61740177406794,48.49304343,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155287_flat_cube.fits,88.73507,45.0,3879841.358276427,-50297.6870897545,1965069.5226830908,1914771.8355933365,7347.405431413042,7347.405431413042,91.59592791071748,48.45480044,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155288_flat_cube.fits,88.72295,22.5,3905635.761266781,-4506.631089203991,1955071.1961779925,1950564.5650887885,7406.635844718615,7406.635844718615,91.57420189155586,48.4169366,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155289_flat_cube.fits,88.70411,67.5,3839736.3490145975,-176052.49251658702,2007894.4207655925,1831841.9282490048,6723.671699194107,6723.671699194107,91.55248102216736,48.37908676,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155290_flat_cube.fits,88.68716,0.0,3790670.6300761527,-133333.0649661338,1962001.8475211435,1828668.7825550088,6629.2053279472,6629.2053279472,91.53093985127953,48.34087578,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155291_flat_cube.fits,88.66655,45.0,3814089.8411231088,-58964.95118898689,1936527.396156048,1877562.4449670608,6978.123023106524,6978.123023106524,91.50936926558543,48.30304393,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155292_flat_cube.fits,88.64505,22.5,3714086.8762426,-13140.300573902903,1863613.5884082515,1850473.2878343489,6852.902437760161,6852.902437760161,91.48741088037605,48.26479988,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155293_flat_cube.fits,88.62748,67.5,3735562.2597049866,-171767.11941588437,1953664.689560436,1781897.570144551,7271.734330562714,7271.734330562714,91.46567070921002,48.22692885,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155294_flat_cube.fits,88.6076,0.0,3898818.022649828,-138944.55048759794,2018881.286568713,1879936.736081115,7523.385380350638,7523.385380350638,91.44443843123472,48.18906085,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155295_flat_cube.fits,88.5862,45.0,3963569.338087368,-56868.2955289199,2010218.816808144,1953350.521279224,7560.818693068532,7560.818693068532,91.4224550943778,48.15084371,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155296_flat_cube.fits,88.57253,22.5,3841825.444394528,-13760.724432868185,1927793.0844136984,1914032.35998083,7040.585820626936,7040.585820626936,91.40130908585334,48.1130077,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155297_flat_cube.fits,88.55202,67.5,3839238.023817041,-179914.2055826299,2009576.114699836,1829661.9091172053,6840.782477019231,6840.782477019231,91.3799870444799,48.07516676,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155298_flat_cube.fits,88.53269,0.0,3962125.4497718834,-134004.14290824905,2048064.7963400665,1914060.6534318167,7367.159015640611,7367.159015640611,91.35814306534198,48.03729387,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155299_flat_cube.fits,88.51616,45.0,3738577.972025242,-62311.59093368892,1900444.7814794653,1838133.1905457769,6877.298235557078,6877.298235557078,91.33688574258626,47.99905171,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155300_flat_cube.fits,88.4891,22.5,3825454.2564751976,-2971.7279146038927,1914212.9921949008,1911241.2642802969,7145.575165558566,7145.575165558566,91.31547631255648,47.96118258,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155301_flat_cube.fits,88.47053,67.5,3927984.4314312246,-166637.36346748262,2047310.8974493537,1880673.533981871,8000.973451214864,8000.973451214864,91.29376830674524,47.92333245,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155302_flat_cube.fits,88.45544,0.0,3832317.112669418,-125586.26292177942,1978951.6877955988,1853365.42487382,7586.859362786731,7586.859362786731,91.27248291636576,47.88512327,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155303_flat_cube.fits,88.41627,45.0,3987094.5105607314,-61984.84607786872,2024539.6783193,1962554.832241432,7804.280995964773,7804.280995964773,91.25106620206944,47.84727316,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155304_flat_cube.fits,88.41651,22.5,4058989.532969775,8736.051445576828,2025126.740762099,2033862.792207676,8194.13041228224,8194.13041228224,91.22963555449516,47.80940402,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155305_flat_cube.fits,88.38976,67.5,3893505.121432432,-185818.9512978897,2039662.0363651607,1853843.085067271,7768.707428448243,7768.707428448243,91.20825486260422,47.77152789,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155306_flat_cube.fits,88.36207,0.0,4045821.184048296,-142829.27839687886,2094325.2312225872,1951495.9528257083,7824.185783930267,7824.185783930267,91.18680033013018,47.73328963,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155307_flat_cube.fits,88.36207,45.0,4080847.187273725,-52124.32138920343,2066485.754331464,2014361.4329422603,8702.485712721213,8702.485712721213,91.16508898172152,47.6950723,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155308_flat_cube.fits,88.33826,22.5,4098410.4249636224,-15415.563785009785,2056912.994374316,2041497.4305893064,8413.614513600738,8413.614513600738,91.14367399629222,47.65758019,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155309_flat_cube.fits,88.32328,67.5,4121218.761509737,-193485.61803490715,2157352.189772322,1963866.5717374147,8314.56741716479,8314.56741716479,91.12281165954354,47.61937584,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155310_flat_cube.fits,88.29652,0.0,4075325.416580697,-142233.78699123627,2108779.6017859667,1966545.8147947304,8001.310942098492,8001.310942098492,91.10109252918394,47.5811215,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155311_flat_cube.fits,88.28075,45.0,4106332.242209016,-54704.99778245296,2080518.6199957333,2025813.6222132808,8203.181692179476,8203.181692179476,91.0802296330089,47.54362042,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155312_flat_cube.fits,88.25597,22.5,4064604.482178879,-7643.108029143419,2036123.795104011,2028480.6870748675,8276.936676328998,8276.936676328998,91.05892314035604,47.50538499,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155313_flat_cube.fits,88.23767,67.5,3931135.562725024,-187195.88221782583,2059165.722471425,1871969.8402535992,7323.300328313811,7323.300328313811,91.03729904823916,47.46788679,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155314_flat_cube.fits,88.22473,0.0,4057914.5276043047,-141150.94362687273,2099532.7356155887,1958381.791988716,7504.500218261604,7504.500218261604,91.01644680247516,47.42930721,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155315_flat_cube.fits,88.19856,45.0,3912792.3608991336,-57406.8062395507,1985099.583569342,1927692.777329792,7585.287580638271,7585.287580638271,90.995132908788,47.39146477,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155316_flat_cube.fits,88.19066,22.5,3799544.514888432,-5937.026980416849,1902740.770934424,1896803.7439540075,7969.351558408128,7969.351558408128,90.97377923499526,47.35357552,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155317_flat_cube.fits,88.17254,67.5,3747627.557267662,-160157.9086608414,1953892.732964252,1793734.8243034102,7271.824990979254,7271.824990979254,90.9527268007009,47.31533604,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155318_flat_cube.fits,88.14841,0.0,3809784.301533375,-133913.96488873963,1971849.1332110567,1837935.1683223173,7387.792310024989,7387.792310024989,90.93155801679146,47.27746066,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155319_flat_cube.fits,88.12521,45.0,3826372.906711417,-56429.39677875047,1941401.151745084,1884971.7549663333,7629.941902486546,7629.941902486546,90.91012085403864,47.2396042,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155320_flat_cube.fits,88.11379,22.5,3816672.010964133,-15445.078146498185,1916058.544555316,1900613.4664088176,7327.951616121815,7327.951616121815,90.88876690238226,47.20102148,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155321_flat_cube.fits,88.07941,67.5,3723358.375038953,-168564.15512489248,1945961.2650819228,1777397.1099570305,7094.2616615959205,7094.2616615959205,90.86812146293408,47.1635431,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155322_flat_cube.fits,88.07371,0.0,3646457.141256539,-118521.84918544674,1882489.495220993,1763967.6460355462,6970.212416029272,6970.212416029272,90.8468086847992,47.12565357,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155323_flat_cube.fits,88.06039,45.0,3942591.980155635,-59394.43322473392,2000993.2066901843,1941598.7734654504,7638.910420113496,7638.910420113496,90.8258476611184,47.08777252,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155324_flat_cube.fits,88.03858,22.5,3991483.211359001,-14392.156764454674,2002937.684061728,1988545.5272972733,7671.256064494009,7671.256064494009,90.8046834652036,47.04952683,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155325_flat_cube.fits,88.02045,67.5,3921756.329055648,-185704.332900496,2053730.330978072,1868025.998077576,6883.028958299383,6883.028958299383,90.78345417231854,47.01168725,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155326_flat_cube.fits,88.00395,0.0,3861434.704695058,-112284.11799035966,1986859.4113427089,1874575.2933523487,7001.777576613406,7001.777576613406,90.7626899484031,46.97382067,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155327_flat_cube.fits,87.97468,45.0,3762215.5042432006,-53661.55634695105,1907938.530295076,1854276.9739481248,6508.574985696793,6508.574985696793,90.74162898444506,46.93560899,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155328_flat_cube.fits,87.96101,22.5,3871505.5256051575,-6709.942120341584,1939107.7338627493,1932397.791742408,7157.310262214205,7157.310262214205,90.7203883013922,46.8977203,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155329_flat_cube.fits,87.94614,67.5,3905915.970085312,-192416.9580659424,2049166.4640756275,1856749.5060096849,7796.904151171968,7796.904151171968,90.69951452534724,46.85947437,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155330_flat_cube.fits,87.91883,0.0,4037099.939378271,-144063.67699081334,2090581.808184542,1946518.131193729,7831.897731371075,7831.897731371075,90.67867382730014,46.82159864,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155331_flat_cube.fits,87.90693,45.0,4031842.4594803415,-51852.44036096544,2041847.449920653,1989995.009559688,8222.561498545909,8222.561498545909,90.65749465550424,46.78338987,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155332_flat_cube.fits,87.88849,22.5,4062312.3282277687,1352.824891111115,2030479.751668329,2031832.57655944,8583.401870459014,8583.401870459014,90.63637159419284,46.74553512,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155333_flat_cube.fits,87.86606,67.5,3973003.54368729,-184129.44540893333,2078566.494548112,1894437.0491391784,7742.810873817405,7742.810873817405,90.6158856715586,46.70804853,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155334_flat_cube.fits,87.84576,0.0,4125573.338620607,-136486.99920554366,2131030.1689130752,1994543.169707532,7550.100003817774,7550.100003817774,90.59463735822683,46.66978976,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155335_flat_cube.fits,87.83016,45.0,4086266.904501416,-59925.65394153725,2073096.2792214763,2013170.6252799395,7170.18177550856,7170.18177550856,90.57394701552312,46.63191506,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155336_flat_cube.fits,87.80859,22.5,4097045.779683027,-12614.274711549748,2054830.0271972883,2042215.7524857384,7614.897463023824,7614.897463023824,90.55296662665988,46.59366717,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155337_flat_cube.fits,87.78977,67.5,4009028.746810678,-188624.20633057732,2098826.476570628,1910202.2702400505,7942.06448574538,7942.06448574538,90.53202121613567,46.55580387,1328.6331
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155338_flat_cube.fits,87.75729,0.0,4172189.7531315577,-130254.53106303746,2151222.1420972976,2020967.61103426,7859.10522268391,7859.10522268391,90.51130558752426,46.51795907,1328.6331
