filepath,D_IMRANG,RET-ANG1,RET-POS1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,p,a,wavelength_bin
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205405_cube.fits,82.29345,0.0,-2.39,1172366.690842695,53217.3060269471,559574.6924078739,612791.998434821,3856.330322061024,3856.330322061024,280.1568550509275,37.58668063,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205406_cube.fits,82.31978,45.0,42.71,1159669.8517130478,55340.554056788445,552164.6488281296,607505.2028849181,3610.143605276994,3610.143605276994,280.1438135496488,37.64391466,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205407_cube.fits,82.35168,22.5,20.25,1131889.8578730458,44889.38870505744,543500.2345839941,588389.6232890516,4110.253992418521,4110.253992418521,280.1306448395487,37.70113156,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205408_cube.fits,82.38098,67.5,65.28,1079199.6947226976,53670.66361018561,512764.515556256,566435.1791664416,3103.2080362325164,3103.2080362325164,280.1174978996336,37.75799048,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205409_cube.fits,82.40763,0.0,-2.15,1147949.193641014,54268.82891341823,546840.1823637979,601109.0112772161,4219.2192610448765,4219.2192610448765,280.1044241471273,37.81522384,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205410_cube.fits,82.43638,45.0,42.89,1097684.911097475,50371.27764869481,523656.8167243903,574028.0943730851,3045.307768050951,3045.307768050951,280.091213538544,37.87245718,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205411_cube.fits,82.46555,22.5,20.46,1142535.692362153,50297.52855198679,546119.0819050831,596416.6104570699,4137.141528580874,4137.141528580874,280.07824952932987,37.92930711,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205412_cube.fits,82.48989,67.5,65.49,1169457.938141001,60786.67988186923,554335.6291295658,615122.309011435,3661.692864676133,3661.692864676133,280.06511319842446,37.98616908,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205413_cube.fits,82.52289,0.0,-1.94,1166922.8981911845,52744.95021194383,557088.9739896202,609833.924201564,3680.634425000973,3680.634425000973,280.05184221879665,38.04379927,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205414_cube.fits,82.55202,45.0,43.1,1163716.6119837472,57894.34314548201,552911.1344191326,610805.4775646146,3338.2775164235004,3338.2775164235004,280.0387243074751,38.10103419,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205415_cube.fits,82.57946,22.5,20.67,1154205.664263364,52542.14770184236,550831.7582807608,603373.9059826032,4076.745581550621,4076.745581550621,280.0259513855886,38.15790688,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205416_cube.fits,82.6087,67.5,65.7,1025043.8657821724,50582.94637410465,487230.45970403386,537813.4060781385,2590.252147347506,2590.252147347506,280.01289587311675,38.21477055,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205417_cube.fits,82.63631,0.0,-1.76,1129588.1840171982,51991.675045019365,538798.2544860895,590789.9295311088,3577.9018246010505,3577.9018246010505,279.9995841918821,38.27241241,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205418_cube.fits,82.66403,45.0,43.31,1096690.3003921062,50509.66043098329,523090.3199805615,573599.9804115448,3442.317766528136,3442.317766528136,279.98659517532184,38.32927097,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205419_cube.fits,82.69126,22.5,20.84,1103251.609561629,48967.36930442613,527142.1201286012,576109.4894330273,3421.883961888346,3421.883961888346,279.97370799119074,38.38615639,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205420_cube.fits,82.72102,67.5,65.88,1185856.196856615,58871.0135314815,563492.5916625665,622363.605194048,3037.4901422320595,3037.4901422320595,279.96059817193566,38.44340389,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205421_cube.fits,82.74825,0.0,-1.55,1085686.5657908362,48065.1448677493,518810.7104615435,566875.8553292928,5305.065822694199,5305.065822694199,279.94747924553093,38.50068539,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205422_cube.fits,82.77631,45.0,43.52,1132055.8048149506,53538.52771861618,539258.6385481672,592797.1662667834,3189.4018359394045,3189.4018359394045,279.93457083734575,38.55755059,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205423_cube.fits,82.80417,22.5,21.05,1168881.0639042398,50898.98391528579,558991.0399944771,609890.0239097629,3798.323376211083,3798.323376211083,279.9216319026262,38.61443278,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205424_cube.fits,82.83541,67.5,66.09,1182121.539172316,59086.12266904407,561517.7082516359,620603.83092068,3723.755659168866,3723.755659168866,279.908530236841,38.67208562,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205425_cube.fits,82.86243,0.0,-1.34,1124038.5058557685,52121.42634058872,535958.5397575898,588079.9660981785,4012.913001358678,4012.913001358678,279.8954785881306,38.72897667,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205426_cube.fits,82.89032,45.0,43.69,1209415.8875014714,52076.92933246237,578669.4790845045,630746.4084169669,4160.002426519456,4160.002426519456,279.88237931354394,38.78624531,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205427_cube.fits,82.9167,22.5,21.23,1133701.5132079984,50129.14140456123,541786.1859017186,591915.3273062798,4078.377507652806,4078.377507652806,279.8694079296445,38.84312821,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205428_cube.fits,82.94721,67.5,66.3,1147104.7518435034,47853.06206806074,549625.8448877214,597478.9069557821,3906.697323204048,3906.697323204048,279.85653606645104,38.90041317,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205429_cube.fits,82.9751,0.0,-1.17,1140577.753485201,55452.56177857227,542562.5958533143,598015.1576318865,3208.497401499703,3208.497401499703,279.8434434233068,38.95730996,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205430_cube.fits,83.00323,45.0,43.9,1155965.1658917526,55590.41628308385,550187.3748043344,605777.7910874182,3302.007186631774,3302.007186631774,279.83045888364614,39.01459279,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205431_cube.fits,83.03216,22.5,21.47,1138142.6226738822,49870.65964323655,544135.9815153228,594006.6411585594,2911.0722591200374,2911.0722591200374,279.8174467176144,39.07187557,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205432_cube.fits,83.06115,67.5,66.51,1165917.4091668068,58272.095900606015,553822.6566331004,612094.7525337064,3635.739769521618,3635.739769521618,279.80466556446675,39.12877514,1159.5614
/home/shared/exoserver/Subaru/CHARIS/july-27-28/cubes/hd219238/fitting/CRSA00205433_cube.fits,83.09046,0.0,-0.96,1093103.4842767036,49280.57157915493,521911.4563487744,571192.0279279293,4431.005299610755,4431.005299610755,279.79168507929336,39.18605576,1159.5614
