filepath,D_IMRANG,RET-ANG1,RET-POS1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,wavelength_bin
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170880_cube.fits,45.00033,0.0,90.0,68837884.69603825,-16163578.858571053,42500731.77730465,26337152.9187336,8296.85992987939,8296.85992987939,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170884_cube.fits,45.00029,45.0,33.75,66478960.03568077,20319064.703909878,23079947.66588545,43399012.36979532,8153.463070112035,8153.463070112035,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170881_cube.fits,45.00029,11.25,11.25,68192645.70101786,-9956356.275783062,39074500.98840046,29118144.7126174,8257.883851267094,8257.883851267094,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170885_cube.fits,45.00029,56.25,56.25,66741093.8237977,17880953.529568195,24430070.147114757,42311023.67668295,8169.522251869916,8169.522251869916,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170882_cube.fits,45.00029,22.5,22.5,67202393.92735672,1822135.8604660037,32690129.03344536,34512264.89391136,8197.706626084928,8197.706626084928,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170886_cube.fits,45.00029,67.5,63.722,67448924.33710957,7676034.628282547,29886444.85441351,37562479.48269606,8212.729408492012,8212.729408492012,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170883_cube.fits,45.00029,33.75,22.5,66582752.02629519,13864678.619598866,26359036.70334816,40223715.32294703,8159.825489941264,8159.825489941264,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170887_cube.fits,45.00029,78.75,67.5,68354918.46287537,-5271785.980442047,36813352.22165871,31541566.24121666,8267.70333665132,8267.70333665132,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170889_cube.fits,57.49991,0.0,85.18,68953218.1041739,-27285342.533220053,48119280.318696976,20833937.785476923,8303.80744623657,8303.80744623657,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170893_cube.fits,57.49991,45.0,33.75,65455425.528987885,30311856.36782646,17571784.58058071,47883640.94840717,8090.452739432317,8090.452739432317,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170890_cube.fits,57.49991,11.25,11.25,67762753.18356848,-4466881.66885519,36114817.42621184,31647935.757356644,8231.813480853929,8231.813480853929,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170894_cube.fits,57.49991,56.25,45.0,66512139.14447975,10825053.144623756,27843542.999928,38668596.14455176,8155.497479889241,8155.497479889241,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170891_cube.fits,57.49991,22.5,22.5,66130196.831867695,20617405.616312504,22756395.6077776,43373801.2240901,8132.047517806797,8132.047517806797,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170895_cube.fits,57.49991,67.5,67.5,67793142.41795588,-12805937.060221195,40299539.739088535,27493602.67886734,8233.659114753043,8233.659114753043,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170892_cube.fits,57.49991,33.75,22.5,65208386.52377868,34625724.469673395,15291331.02705264,49917055.49672604,8075.170990374054,8075.170990374054,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170896_cube.fits,57.49991,78.75,78.75,68763685.44090915,-27622447.56040883,48193066.50065899,20570618.94025016,8292.3871979611,8292.3871979611,1685.9701
