filepath,D_IMRANG,RET-ANG1,RET-POS1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,wavelength_bin
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170808_cube.fits,45.00015,0.0,0.0,394488401.06440544,-209034954.1567936,301761677.6105995,92726723.45380592,19861.73207614093,19861.73207614093,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170812_cube.fits,45.00015,45.0,45.0,392806253.6798878,231232551.9311657,80786850.87436104,312019402.80552673,19819.340394672265,19819.340394672265,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170809_cube.fits,45.00015,11.25,11.25,394805602.4562454,-156772622.1527176,275789112.3044815,119016490.15176392,19869.715711510456,19869.715711510456,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170813_cube.fits,45.00015,56.25,56.25,392081634.8688755,189615361.8868465,101233136.49101448,290848498.377861,19801.05135766471,19801.05135766471,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170810_cube.fits,45.00015,22.5,11.67,391964053.0980873,-10100225.536373138,201032139.31723025,190931913.7808571,19798.08205604996,19798.08205604996,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170814_cube.fits,45.00015,67.5,61.186,391796779.1047478,46872572.76195145,172462103.17139816,219334675.9333496,19793.857105292736,19793.857105292736,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170811_cube.fits,45.00015,33.75,22.5,391815292.3324928,148928752.04208755,121443270.14520264,270372022.1872902,19794.324750607,19794.324750607,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170815_cube.fits,45.00015,78.75,67.5,395009403.08055305,-115173831.50133324,255091617.29094315,139917785.7896099,19874.84347310824,19874.84347310824,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170817_cube.fits,57.49998,0.0,64.078,396199678.0531883,-248048166.74183276,322123922.3975105,74075755.6556778,19904.76520969761,19904.76520969761,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170821_cube.fits,57.49998,45.0,33.75,391731739.7552013,267599636.67238045,62066051.541410446,329665688.2137909,19792.21411957746,19792.21411957746,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170818_cube.fits,57.49998,11.25,0.0,393725296.25956726,-137036451.88983154,265380874.0746994,128344422.18486786,19842.51234747171,19842.51234747171,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170822_cube.fits,57.49998,56.25,56.25,390762786.2545815,166302207.1229744,112230289.56580351,278532496.6887779,19767.72081588015,19767.72081588015,1931.7956
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_out/CRSA00170819_cube.fits,57.49998,22.5,22.5,390736488.50027657,55502045.197538376,167617221.6513691,223119266.84890747,19767.055635584085,19767.055635584085,1931.7956
