filepath,D_IMRANG,RET-ANG1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,wavelength_bin
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170808_cube.fits,45.0,0.0,89923865.50132251,49465974.99355626,20228945.253883123,69694920.24743938,9482.819491128284,9482.819491128284,1471.4264
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170812_cube.fits,45.0,45.0,91841779.16942596,-43037624.08421898,67439701.62682247,24402077.542603493,9583.411666490489,9583.411666490489,1471.4264
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170809_cube.fits,45.0,11.25,89754629.47611094,42730161.43922186,23512234.018444534,66242395.4576664,9473.89199200154,9473.89199200154,1471.4264
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170813_cube.fits,45.0,56.25,92127103.95970248,-31422475.551646233,61774789.75567436,30352314.20402813,9598.286511648968,9598.286511648968,1471.4264
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170810_cube.fits,45.0,22.5,89982458.28563404,10851012.51284504,39565722.8863945,50416735.39923954,9485.90840592687,9485.90840592687,1471.4264
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170814_cube.fits,45.0,67.5,91830414.24453735,2436760.165582657,44696827.03947735,47133587.205060005,9582.818700389638,9582.818700389638,1471.4264
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170811_cube.fits,45.0,33.75,90922168.2681899,-25251532.32256365,58086850.29537678,32835317.97281313,9535.311650291767,9535.311650291767,1471.4264
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170815_cube.fits,45.0,78.75,91281358.14856386,37625246.60176802,26828055.773397923,64453302.37516594,9554.1278067945,9554.1278067945,1471.4264
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170817_cube.fits,57.5,0.0,91851664.90228748,18833141.146430016,36509261.877928734,55342403.02435875,9583.927425762751,9583.927425762751,1471.4264
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170821_cube.fits,57.5,45.0,90442788.22595644,-13957108.923816204,52199948.57488632,38242839.65107012,9510.141335750825,9510.141335750825,1471.4264
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170818_cube.fits,57.5,11.25,89740730.41326094,56906415.71912432,16417157.34706831,73323573.06619263,9473.158418038882,9473.158418038882,1471.4264
