filepath,D_IMRANG,RET-ANG1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,wavelength_bin
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170808_cube.fits,45.0,0.0,169578750.3879571,-92314630.52477407,130946690.4563656,38632059.93159151,13022.240605516285,13022.240605516285,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170812_cube.fits,45.0,45.0,176848798.32457447,96904720.0230894,39972039.15074253,136876759.17383194,13298.450974627627,13298.450974627627,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170809_cube.fits,45.0,11.25,171419915.75649166,-74144215.38470173,122782065.5705967,48637850.185894966,13092.74286604956,13092.74286604956,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170813_cube.fits,45.0,56.25,175650141.78733873,77158007.50372648,49246067.141806126,126404074.6455326,13253.306824613195,13253.306824613195,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170810_cube.fits,45.0,22.5,173696389.3401432,-10418741.035230637,92057565.18768692,81638824.15245628,13179.392601335738,13179.392601335738,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170814_cube.fits,45.0,67.5,173300361.61676884,12740398.127745628,80279981.7445116,93020379.87225723,13164.359521707422,13164.359521707422,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170811_cube.fits,45.0,33.75,176047529.39212322,60641156.455620766,57703186.46825123,118344342.923872,13268.290371864916,13268.290371864916,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170815_cube.fits,45.0,78.75,171464300.57572746,-58057446.57338905,114760873.57455826,56703427.001169205,13094.437772418009,13094.437772418009,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170817_cube.fits,57.5,0.0,169209706.41902447,-107586649.7210207,138398178.07002258,30811528.349001884,13008.06313095937,13008.06313095937,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170821_cube.fits,57.5,45.0,176635178.988297,113073452.90874816,31780863.039774414,144854315.94852257,13290.416810179318,13290.416810179318,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170818_cube.fits,57.5,11.25,170937215.80413437,-65777851.26098251,118357533.53255844,52579682.27157593,13074.29599650147,13074.29599650147,2213.4641
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/no_pick/CRSA00170822_cube.fits,57.5,56.25,175141301.9712286,70145726.93672276,52497787.51725292,122643514.45397568,13234.096190191023,13234.096190191023,2213.4641
