filepath,D_IMRANG,RET-ANG1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,wavelength_bin
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170880_cube.fits,45.0,0.0,15334950.380440831,13202487.632090926,1066231.3741749525,14268719.00626588,3915.986514333372,3915.986514333372,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170884_cube.fits,45.0,45.0,17134944.247601185,-15806287.592027988,16470615.919814589,664328.3277865993,4139.437672873114,4139.437672873114,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170881_cube.fits,45.0,11.25,15419596.52199769,9844282.085674047,2787657.218161822,12631939.303835869,3926.779408369878,3926.779408369878,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170885_cube.fits,45.0,56.25,16982621.118092626,-12706636.507008463,14844628.812550545,2137992.3055420816,4120.997587731959,4120.997587731959,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170882_cube.fits,45.0,22.5,15938860.399788976,51179.55202448368,7943840.423882246,7995019.97590673,3992.350235110765,3992.350235110765,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170886_cube.fits,45.0,67.5,16347687.39269495,-3044430.1905112267,9696058.791603088,6651628.601091862,4043.227348628191,4043.227348628191,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170883_cube.fits,45.0,33.75,16671907.607340842,-10557623.61423108,13614765.61078596,3057141.9965548813,4083.124735706814,4083.124735706814,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170887_cube.fits,45.0,78.75,15687148.176880715,7649833.275783181,4018657.450548768,11668490.72633195,3960.700465432941,3960.700465432941,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170889_cube.fits,57.5,0.0,15662061.14655602,6629966.304082274,4516047.421236873,11146013.725319147,3957.532204108518,3957.532204108518,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170893_cube.fits,57.5,45.0,16532026.853865324,-9266638.220767796,12899332.53731656,3632694.3165487647,4065.959524376174,4065.959524376174,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170890_cube.fits,57.5,11.25,15197242.08887306,12718850.147459358,1239195.9707068503,13958046.118166208,3898.3640272392545,3898.3640272392545,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170894_cube.fits,57.5,56.25,17048001.23634156,-15646794.357231537,16347397.796786549,700603.4395550098,4128.922527287423,4128.922527287423,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170891_cube.fits,57.5,22.5,15171160.298849791,10782195.721978933,2194482.2884354293,12976678.010414362,3895.017368234677,3895.017368234677,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170895_cube.fits,57.5,67.5,16924878.573140264,-13818860.503983378,15371869.53856182,1553009.0345784426,4113.985728358846,4113.985728358846,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170892_cube.fits,57.5,33.75,15730321.1248312,1695344.9475755692,7017488.088627815,8712833.036203384,3966.146886441701,3966.146886441701,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170896_cube.fits,57.5,78.75,16363433.912167668,-4681099.827007651,10522266.86958766,5841167.0425800085,4045.1741510307897,4045.1741510307897,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170898_cube.fits,70.0,0.0,16376456.022908866,-5939826.091486752,11158141.05719781,5218314.965711057,4046.783416852064,4046.783416852064,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170902_cube.fits,70.0,45.0,15568087.405731916,3214160.9336218834,6176963.2360550165,9391124.1696769,3945.6415708642257,3945.6415708642257,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170899_cube.fits,70.0,11.25,15602340.068105102,5247712.116752028,5177313.975676537,10425026.092428563,3949.979755404463,3949.979755404463,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170903_cube.fits,70.0,56.25,16439208.898666918,-8176354.901429117,12307781.900048018,4131426.998618901,4054.529429991466,4054.529429991466,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170900_cube.fits,70.0,22.5,15010104.415635496,12661025.076141449,1174539.6697470248,13835564.745888472,3874.287601048158,3874.287601048158,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170904_cube.fits,70.0,67.5,16961016.425038245,-15659908.276894664,16310462.350966454,650554.074071791,4118.3754594546435,4118.3754594546435,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170901_cube.fits,70.0,33.75,14945748.611092864,11866549.101393878,1539599.7548494935,13406148.856243372,3865.97317775135,3865.97317775135,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170905_cube.fits,70.0,78.75,16886921.96174401,-14837901.352165043,15862411.656954529,1024510.3047894835,4109.37002005709,4109.37002005709,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170907_cube.fits,82.5,0.0,16946039.331457913,-15571255.714949789,16258647.52320385,687391.8082540631,4116.556732447388,4116.556732447388,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170911_cube.fits,82.5,45.0,14782192.751609012,12823949.173355892,979121.78912656,13803070.962482452,3844.7617288473175,3844.7617288473175,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170908_cube.fits,82.5,11.25,16395721.44274336,-7285168.032048166,11840444.737395763,4555276.705347598,4049.163054600711,4049.163054600711,1284.184
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_3/cubes/pick/CRSA00170912_cube.fits,82.5,56.25,15517672.43657875,4511486.345500946,5503093.045538902,10014579.391039848,3939.247699317568,3939.247699317568,1284.184
