filepath,D_IMRANG,RET-ANG1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,wavelength_bin
/home/thomasmc/nbs_in/pol/cubes/CRSA00171722_cube.fits,45.0,0.0,24394805.53939832,7563401.602432132,8415701.96848309,15979103.570915222,4939.10979219923,4939.10979219923,1744.3261
/home/thomasmc/nbs_in/pol/cubes/CRSA00171726_cube.fits,45.0,45.0,24232283.86337924,-10931566.956089737,17581925.409734488,6650358.4536447525,4922.629771106013,4922.629771106013,1744.3261
/home/thomasmc/nbs_in/pol/cubes/CRSA00171723_cube.fits,45.0,11.25,24322451.614062667,4675856.683376431,9823297.465343118,14499154.14871955,4931.779761309569,4931.779761309569,1744.3261
/home/thomasmc/nbs_in/pol/cubes/CRSA00171727_cube.fits,45.0,56.25,24260626.4037472,-9231804.89869964,16746215.65122342,7514410.75252378,4925.507730553999,4925.507730553999,1744.3261
/home/thomasmc/nbs_in/pol/cubes/CRSA00171724_cube.fits,45.0,22.5,24263234.58073068,-1447271.0658910277,12855252.823310852,11407981.757419825,4925.772485684928,4925.772485684928,1744.3261
/home/thomasmc/nbs_in/pol/cubes/CRSA00171728_cube.fits,45.0,67.5,24337800.77993953,-3556151.377931237,13946976.078935385,10390824.701004148,4933.33566463296,4933.33566463296,1744.3261
/home/thomasmc/nbs_in/pol/cubes/CRSA00171725_cube.fits,45.0,33.75,24211841.96998155,-7777939.089936852,15994890.529959202,8216951.440022349,4920.553014650035,4920.553014650035,1744.3261
/home/thomasmc/nbs_in/pol/cubes/CRSA00171729_cube.fits,45.0,78.75,24386493.843494296,3066939.058436036,10659777.39252913,13726716.450965166,4938.26830412183,4938.26830412183,1744.3261
/home/thomasmc/nbs_in/pol/cubes/CRSA00171731_cube.fits,57.5,0.0,24425215.5414232,11108943.207493424,6658136.166964889,17767079.374458313,4942.187323586916,4942.187323586916,1744.3261
/home/thomasmc/nbs_in/pol/cubes/CRSA00171735_cube.fits,57.5,45.0,24210708.39072734,-14098324.70190066,19154516.546314,5056191.84441334,4920.437825105338,4920.437825105338,1744.3261
/home/thomasmc/nbs_in/pol/cubes/CRSA00171732_cube.fits,57.5,11.25,24411867.07983017,3134325.0102086067,10638771.03481078,13773096.045019388,4940.836678117398,4940.836678117398,1744.3261
/home/thomasmc/nbs_in/pol/cubes/CRSA00171736_cube.fits,57.5,56.25,24280003.913398266,-7182045.491579056,15731024.70248866,8548979.210909605,4927.474395001791,4927.474395001791,1744.3261
/home/thomasmc/nbs_in/pol/cubes/CRSA00171733_cube.fits,57.5,22.5,24292699.038104296,-7152923.362154245,15722811.20012927,8569887.837975025,4928.762424595479,4928.762424595479,1744.3261
/home/thomasmc/nbs_in/pol/cubes/CRSA00171737_cube.fits,57.5,67.5,24340803.174069524,2670312.606779456,10835245.283645034,13505557.89042449,4933.63995180734,4933.63995180734,1744.3261
/home/thomasmc/nbs_in/pol/cubes/CRSA00171734_cube.fits,57.5,33.75,24175021.755758643,-14157859.731042504,19166440.743400574,5008581.012358069,4916.810119961787,4916.810119961787,1744.3261
