filepath,D_IMRANG,RET-ANG1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,wavelength_bin
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171803_cube.fits,45.0,0.0,1349072.4040399827,13123.792539622636,667974.30575018,681098.0982898027,1161.4957615247602,1161.4957615247602,1328.6331
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171807_cube.fits,45.0,45.0,9120132.752718866,-28187.273761689663,4574160.013240278,4545972.739478588,3019.9557534372693,3019.9557534372693,1328.6331
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171804_cube.fits,45.0,11.25,6180960.813672543,87369.51541554928,3046795.6491284966,3134165.164544046,2486.1538193910174,2486.1538193910174,1328.6331
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171808_cube.fits,45.0,56.25,9585111.95715332,-3202.537580013275,4794157.247366667,4790954.7097866535,3095.983197169087,3095.983197169087,1328.6331
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171805_cube.fits,45.0,22.5,7746473.611871242,64306.66184735298,3841083.475011945,3905390.1368592978,2783.2487513463907,2783.2487513463907,1328.6331
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171809_cube.fits,45.0,67.5,9959679.453160644,67209.34743237495,4946235.052864134,5013444.400296509,3155.895982626906,3155.895982626906,1328.6331
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171806_cube.fits,45.0,33.75,8523564.194031775,12536.806025087832,4255513.694003344,4268050.500028431,2919.514376404366,2919.514376404366,1328.6331
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171810_cube.fits,45.0,78.75,10266837.08224702,150048.3577040434,5058394.362271488,5208442.719975531,3204.190550239954,3204.190550239954,1328.6331
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171812_cube.fits,57.5,0.0,10809524.940647066,191940.49098449945,5308792.224831283,5500732.715815783,3287.7841992209687,3287.7841992209687,1328.6331
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171816_cube.fits,57.5,45.0,11284675.935331166,75608.43097192049,5604533.752179623,5680142.183151543,3359.267172365301,3359.267172365301,1328.6331
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171813_cube.fits,57.5,11.25,10961779.960304735,245336.52468669412,5358221.7178090215,5603558.242495716,3310.857888871816,3310.857888871816,1328.6331
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171817_cube.fits,57.5,56.25,11354162.846802294,23768.7518067956,5665197.047497749,5688965.799304545,3369.593869712238,3369.593869712238,1328.6331
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171814_cube.fits,57.5,22.5,11090734.101881623,232148.0154247284,5429293.043228447,5661441.058653176,3330.275379286468,3330.275379286468,1328.6331
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171818_cube.fits,57.5,67.5,11405021.31574434,43508.6932412982,5680756.311251521,5724265.004492819,3377.1321140494847,3377.1321140494847,1328.6331
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171815_cube.fits,57.5,33.75,11205206.00357306,156050.04387521744,5524577.979848921,5680628.023724139,3347.417811324583,3347.417811324583,1328.6331
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171819_cube.fits,57.5,78.75,11468403.300118623,119226.5860645175,5674588.357027054,5793814.943091571,3386.503107944628,3386.503107944628,1328.6331
/home/thomasmc/nbs_in/unpol/cubes/CRSA00171821_cube.fits,70.0,0.0,11573553.34322518,152856.03484982252,5710348.654187679,5863204.689037502,3401.992554845642,3401.992554845642,1328.6331
