filepath,D_IMRANG,RET-ANG1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,p,a,wavelength_bin
/Users/thomasmcintosh/Desktop/CHARIS-REU/testing_model/BD343631/cubes/CRSA00123422_flat.fits,97.8916,0.0,132604.82612923766,4147.7076009805605,64228.55926412855,68376.26686510911,351.0163499394108,351.0163499394108,126.5757623688055,66.77899114,1685.9701
/Users/thomasmcintosh/Desktop/CHARIS-REU/testing_model/BD343631/cubes/CRSA00123423_flat.fits,97.80772,45.0,132971.92947901235,1645.4208388813422,65663.2543200655,67308.67515894685,322.35933294769865,322.35933294769865,126.1145151377112,66.60077713,1685.9701
/Users/thomasmcintosh/Desktop/CHARIS-REU/testing_model/BD343631/cubes/CRSA00123424_flat.fits,97.70938,22.5,134640.44918581605,3215.265646128828,65712.59176984361,68927.85741597244,326.8418060843839,326.8418060843839,125.6585613281019,66.4212248,1685.9701
/Users/thomasmcintosh/Desktop/CHARIS-REU/testing_model/BD343631/cubes/CRSA00123425_flat.fits,97.61756,67.5,127487.57000064108,3704.082848183214,61891.74357622894,65595.82642441215,295.3964773085783,295.3964773085783,125.2092898301123,66.24067105,1685.9701
/Users/thomasmcintosh/Desktop/CHARIS-REU/testing_model/BD343631/cubes/CRSA00123426_flat.fits,97.53779,0.0,127211.8668410032,4701.07835155254,61255.394244725336,65956.47259627788,309.34834392833585,309.34834392833585,124.7656254339029,66.05939067,1685.9701
/Users/thomasmcintosh/Desktop/CHARIS-REU/testing_model/BD343631/cubes/CRSA00123427_flat.fits,97.43921,45.0,130239.8982988127,2192.525197283904,64023.6865507644,66216.2117480483,320.5081527739747,320.5081527739747,124.3265538099569,65.87713501,1685.9701
/Users/thomasmcintosh/Desktop/CHARIS-REU/testing_model/BD343631/cubes/CRSA00123428_flat.fits,97.34929,22.5,134034.98583037747,3586.164933045533,65224.41044866597,68810.5753817115,325.0003582324826,325.0003582324826,123.8937832315757,65.69393151,1685.9701
/Users/thomasmcintosh/Desktop/CHARIS-REU/testing_model/BD343631/cubes/CRSA00123429_flat.fits,97.25913,67.5,129637.72106452618,2907.742876411299,63364.98909405744,66272.73197046874,308.5711226848832,308.5711226848832,123.46673480239,65.50953458,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154220_flat_cube.fits,94.28935,0.0,2643766.406653941,-86981.470558397,1365373.938606169,1278392.468047772,3584.17880648006,3584.17880648006,94.49502608152916,59.5642602,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154221_flat_cube.fits,94.27834,45.0,3082875.212337535,-127564.6558917656,1605219.9341146504,1477655.2782228847,4482.674772215562,4482.674772215562,94.4745458284614,59.53128284,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154222_flat_cube.fits,94.25066,22.5,2786450.604431108,-75336.11338138208,1430893.358906245,1355557.245524863,3774.4269500731534,3774.4269500731534,94.45378197628976,59.49825251,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154223_flat_cube.fits,94.23526,67.5,2563578.700127041,-124169.35223459567,1343874.0261808182,1219704.6739462223,3393.8709491006025,3393.8709491006025,94.43318276931836,59.46451704,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154224_flat_cube.fits,94.21821,0.0,2802338.1995767,-87833.91415041382,1445086.0568635568,1357252.142713143,3879.3715252454726,3879.3715252454726,94.41281065978929,59.43149467,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154225_flat_cube.fits,94.19508,45.0,3492083.309848596,-134804.96288053086,1813444.136364564,1678639.1734840325,5124.00102663972,5124.00102663972,94.3921327391655,59.39849932,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154226_flat_cube.fits,94.17824,22.5,3859542.992171151,-118330.08547418423,1988936.538822668,1870606.4533484832,5755.237426963655,5755.237426963655,94.37189887796752,59.36510591,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154227_flat_cube.fits,94.17655,67.5,5092686.3651874885,-219404.1385455057,2656045.251866497,2436641.1133209914,8228.549009780974,8228.549009780974,94.35198791597172,59.33209451,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154228_flat_cube.fits,94.14879,0.0,5172960.896391867,-151356.78108440572,2662158.838738136,2510802.0576537303,8376.739106756942,8376.739106756942,94.331598052669,59.29870804,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154229_flat_cube.fits,94.13685,45.0,5425475.147194977,-203852.26719281825,2814663.7071938976,2610811.44000108,9204.328553672158,9204.328553672158,94.31119896815832,59.26531157,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154230_flat_cube.fits,94.12494,22.5,4640348.007961959,-107250.26530445552,2373799.136633207,2266548.871328752,7589.196694686597,7589.196694686597,94.2906377307976,59.23230313,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154231_flat_cube.fits,94.11214,67.5,4390896.556625171,-199173.01521145552,2295034.785918313,2095861.7707068576,6819.932383683335,6819.932383683335,94.2703806842946,59.19890064,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154232_flat_cube.fits,94.08998,0.0,4188068.955722301,-131337.9202112786,2159703.43796679,2028365.517755512,6471.132791116478,6471.132791116478,94.25024653520428,59.16589221,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154233_flat_cube.fits,94.07361,45.0,4097757.062827047,-168747.4466143048,2133252.254720676,1964504.808106371,6317.645225799959,6317.645225799959,94.2303474750351,59.1324947,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154234_flat_cube.fits,94.06267,22.5,4290759.721353883,-114594.26795356,2202676.9946537213,2088082.726700161,6759.2977756853725,6759.2977756853725,94.21006087187692,59.09911817,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154235_flat_cube.fits,94.04158,67.5,4074595.415890134,-185655.86958552804,2130125.642737831,1944469.773152303,6045.818187349854,6045.818187349854,94.18985660161924,59.06607873,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154236_flat_cube.fits,94.02898,0.0,4440338.655351112,-134423.0731410184,2287380.864246065,2152957.7911050464,6872.768542173022,6872.768542173022,94.1698163913168,59.03345235,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154237_flat_cube.fits,94.01138,45.0,4940426.225168195,-192067.36896698223,2566246.7970675887,2374179.4281006064,8023.037351270991,8023.037351270991,94.1492351849445,58.99966273,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154238_flat_cube.fits,93.99253,22.5,4544550.550869047,-119708.05227716826,2332129.3015731075,2212421.249295939,7044.023597792509,7044.023597792509,94.1289652703349,58.96629113,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154239_flat_cube.fits,93.96461,67.5,4803736.46369142,-193981.85550903808,2498859.159600229,2304877.304091191,7565.89049543183,7565.89049543183,94.1090998378575,58.93286759,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154240_flat_cube.fits,93.94949,0.0,4579317.697873749,-136883.5541987773,2358100.626036263,2221217.071837486,7259.640636276253,7259.640636276253,94.0890714452893,58.89987209,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154241_flat_cube.fits,93.92595,45.0,4335336.607237984,-164701.8317717691,2250019.2195048765,2085317.387733108,6629.582361906817,6629.582361906817,94.0693932058916,58.86681557,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154242_flat_cube.fits,93.92591,22.5,4399546.015663177,-111269.34394030971,2255407.679801743,2144138.3358614333,6912.145759962854,6912.145759962854,94.04954595399234,58.83345701,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154243_flat_cube.fits,93.9069,67.5,4771182.968237184,-237507.65783285163,2504345.313035018,2266837.655202166,7747.093506197556,7747.093506197556,94.02936972526784,58.80039651,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154244_flat_cube.fits,93.89354,0.0,4747244.853987141,-140956.9657442761,2444100.909865708,2303143.944121432,7298.33823625251,7298.33823625251,94.0090993865028,58.76665086,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154245_flat_cube.fits,93.86865,45.0,4564664.921878042,-168128.46612286428,2366396.694000453,2198268.227877589,7119.878368955972,7119.878368955972,93.98955907859684,58.7339724,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154246_flat_cube.fits,93.8554,22.5,4748912.4556440655,-125470.72166928928,2437191.5886566774,2311720.866987388,7364.581549889366,7364.581549889366,93.96951356597688,58.70021877,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154247_flat_cube.fits,93.84121,67.5,4829590.969429079,-213919.21124398988,2521755.090336534,2307835.8790925443,7914.147535746368,7914.147535746368,93.94946489187028,58.66717319,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154248_flat_cube.fits,93.81539,0.0,4806637.084077303,-141026.90380049215,2473831.9939388977,2332805.0901384056,7813.3944473748015,7813.3944473748015,93.9300524468997,58.63416866,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154249_flat_cube.fits,93.79119,45.0,4840226.811290193,-183461.4099744493,2511844.1106323213,2328382.700657872,7524.3010778030975,7524.3010778030975,93.91018408628968,58.6007443,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154250_flat_cube.fits,93.79157,22.5,5639126.378677448,-136328.96453620726,2887727.671606828,2751398.7070706207,8868.424094238393,8868.424094238393,93.8902708224604,58.56771973,1685.9701
/home/thomasmc/charis_mm_testing/HD40280/flat-cubes/CRSA00154251_flat_cube.fits,93.76451,67.5,6225230.883154851,-259510.99604121875,3242370.939598035,2982859.9435568163,10534.233616181373,10534.233616181373,93.8701635401562,58.53393207,1685.9701
