filepath,D_IMRANG,RET-ANG1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,p,a,wavelength_bin
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155278_flat_cube.fits,88.90286,0.0,2352857.29175905,-129388.48434495831,1241122.8880520042,1111734.4037070458,5165.598366497842,5165.598366497842,91.79203064543496,48.79694762,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155279_flat_cube.fits,88.89295,45.0,2344802.519337615,-89541.76981252618,1217172.1445750706,1127630.3747625444,5008.088480948166,5008.088480948166,91.77021868915728,48.75875485,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155280_flat_cube.fits,88.87652,22.5,2391154.749435979,-89836.01658422686,1240495.383010103,1150659.366425876,4858.857211039765,4858.857211039765,91.74819257646824,48.7209022,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155281_flat_cube.fits,88.85222,67.5,2356548.322041358,-153881.13035514927,1255214.7261982537,1101333.5958431044,4917.695088249076,4917.695088249076,91.72617461743629,48.68265241,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155282_flat_cube.fits,88.83179,0.0,2374494.6042833827,-141959.78832086036,1258227.1963021215,1116267.4079812611,5226.3823115438445,5226.3823115438445,91.70468096955328,48.64479662,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155283_flat_cube.fits,88.82009,45.0,2353145.877369537,-103843.93782824418,1228494.9075988908,1124650.969770647,4863.034838510608,4863.034838510608,91.68255861000466,48.60694185,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155284_flat_cube.fits,88.79965,22.5,2350376.998886533,-93493.81337970051,1221935.406133117,1128441.5927534164,5131.90769440883,5131.90769440883,91.66112149153363,48.568737,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155285_flat_cube.fits,88.78118,67.5,2377638.385802771,-167819.4777612877,1272728.931782029,1104909.4540207416,5034.023366348957,5034.023366348957,91.63948275593756,48.53090822,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155286_flat_cube.fits,88.75899,0.0,2366087.864789848,-135575.3973859134,1250831.6310878808,1115256.2337019674,4873.864080887223,4873.864080887223,91.61740177406794,48.49304343,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155287_flat_cube.fits,88.73507,45.0,2348666.6632471066,-102059.26089933678,1225362.9620732218,1123303.701173885,4795.80036797365,4795.80036797365,91.59592791071748,48.45480044,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155288_flat_cube.fits,88.72295,22.5,2368691.665911679,-77162.32110033487,1222926.9935060071,1145764.6724056725,4928.811424592262,4928.811424592262,91.57420189155586,48.4169366,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155289_flat_cube.fits,88.70411,67.5,2348864.5202639187,-152780.39098858996,1250822.4556262544,1098042.0646376645,4387.3639148668935,4387.3639148668935,91.55248102216736,48.37908676,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155290_flat_cube.fits,88.68716,0.0,2331172.6874071145,-130840.14294151124,1231006.415174313,1100166.2722328017,4290.321864366252,4290.321864366252,91.53093985127953,48.34087578,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155291_flat_cube.fits,88.66655,45.0,2336029.746475215,-96591.79318129412,1216310.7698282546,1119718.9766469605,4573.447279354793,4573.447279354793,91.50936926558543,48.30304393,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155292_flat_cube.fits,88.64505,22.5,2304834.170149775,-87267.70978699927,1196050.9399683871,1108783.230181388,4765.526381144252,4765.526381144252,91.48741088037605,48.26479988,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155293_flat_cube.fits,88.62748,67.5,2300570.42359736,-154955.61743732588,1227763.020517343,1072807.403080017,4949.899783244466,4949.899783244466,91.46567070921002,48.22692885,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155294_flat_cube.fits,88.6076,0.0,2362282.791517656,-133682.21028927085,1247982.500903463,1114300.290614192,4957.5304956833215,4957.5304956833215,91.44443843123472,48.18906085,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155295_flat_cube.fits,88.5862,45.0,2371197.950517758,-115556.99904889637,1243377.4747833272,1127820.4757344308,4996.514787468255,4996.514787468255,91.4224550943778,48.15084371,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155296_flat_cube.fits,88.57253,22.5,2334568.5027701426,-90971.01275897422,1212769.7577645583,1121798.7450055843,4668.282819132922,4668.282819132922,91.40130908585334,48.1130077,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155297_flat_cube.fits,88.55202,67.5,2326310.310796885,-149058.05534368684,1237684.1830702857,1088626.1277265989,4597.801856740572,4597.801856740572,91.3799870444799,48.07516676,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155298_flat_cube.fits,88.53269,0.0,2380361.100544676,-132581.02057318878,1256471.060558932,1123890.0399857434,4834.037709412101,4834.037709412101,91.35814306534198,48.03729387,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155299_flat_cube.fits,88.51616,45.0,2322086.4633662365,-104134.04509583442,1213110.2542310357,1108976.209135201,4783.524295112941,4783.524295112941,91.33688574258626,47.99905171,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155300_flat_cube.fits,88.4891,22.5,2321634.035450167,-85595.26256790687,1203614.6490090368,1118019.38644113,4752.675488115108,4752.675488115108,91.31547631255648,47.96118258,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155301_flat_cube.fits,88.47053,67.5,2341821.474569523,-155240.4387823483,1248530.9566759355,1093290.5178935872,5130.993510576405,5130.993510576405,91.29376830674524,47.92333245,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155302_flat_cube.fits,88.45544,0.0,2315841.518850301,-134014.961941401,1224928.240395851,1090913.27845445,5071.388743559906,5071.388743559906,91.27248291636576,47.88512327,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155303_flat_cube.fits,88.41627,45.0,2380351.117805103,-105071.0083230501,1242711.0630640765,1137640.0547410264,5106.7426204582825,5106.7426204582825,91.25106620206944,47.84727316,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155304_flat_cube.fits,88.41651,22.5,2386090.308882365,-83678.30895150593,1234884.3089169357,1151205.9999654295,5288.684148619357,5288.684148619357,91.22963555449516,47.80940402,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155305_flat_cube.fits,88.38976,67.5,2338337.05920311,-149952.55972293625,1244144.8094630234,1094192.2497400872,5211.8334912017945,5211.8334912017945,91.20825486260422,47.77152789,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155306_flat_cube.fits,88.36207,0.0,2393792.5398115986,-143272.48860017676,1268532.5142058877,1125260.025605711,5172.803783830307,5172.803783830307,91.18680033013018,47.73328963,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155307_flat_cube.fits,88.36207,45.0,2395285.3940087305,-97726.79515700578,1246506.094582868,1148779.2994258625,5598.646912525277,5598.646912525277,91.16508898172152,47.6950723,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155308_flat_cube.fits,88.33826,22.5,2427010.057331479,-88736.63880667114,1257873.348069075,1169136.709262404,5495.977513577167,5495.977513577167,91.14367399629222,47.65758019,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155309_flat_cube.fits,88.32328,67.5,2429364.138594797,-159731.92597997538,1294548.032287386,1134816.1063074106,5410.56174124244,5410.56174124244,91.12281165954354,47.61937584,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155310_flat_cube.fits,88.29652,0.0,2399996.985263992,-139113.2689624161,1269555.127113204,1130441.858150788,5210.568823297421,5210.568823297421,91.10109252918394,47.5811215,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155311_flat_cube.fits,88.28075,45.0,2391096.7019819496,-104285.5177442925,1247691.109863121,1143405.5921188286,5232.630768415128,5232.630768415128,91.0802296330089,47.54362042,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155312_flat_cube.fits,88.25597,22.5,2384793.812981411,-92450.60579373896,1238622.209387575,1146171.603593836,5408.5244253727205,5408.5244253727205,91.05892314035604,47.50538499,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155313_flat_cube.fits,88.23767,67.5,2345159.639992446,-156266.31761017605,1250712.9788013112,1094446.6611911352,4883.975268762998,4883.975268762998,91.03729904823916,47.46788679,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155314_flat_cube.fits,88.22473,0.0,2394787.2090589143,-144128.54503275827,1269457.8770458363,1125329.332013078,4883.669475997736,4883.669475997736,91.01644680247516,47.42930721,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155315_flat_cube.fits,88.19856,45.0,2333744.209494023,-99798.16125123065,1216771.1853726269,1116973.0241213962,4914.826647872366,4914.826647872366,90.995132908788,47.39146477,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155316_flat_cube.fits,88.19066,22.5,2310743.585083513,-86221.1901473112,1198482.3876154122,1112261.197468101,5297.351417997242,5297.351417997242,90.97377923499526,47.35357552,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155317_flat_cube.fits,88.17254,67.5,2290094.340553928,-146320.18805246055,1218207.2643031944,1071887.0762507338,4947.1951174819815,4947.1951174819815,90.9527268007009,47.31533604,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155318_flat_cube.fits,88.14841,0.0,2315706.686297044,-126911.7057686937,1221309.1960328687,1094397.490264175,4972.628352474312,4972.628352474312,90.93155801679146,47.27746066,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155319_flat_cube.fits,88.12521,45.0,2314960.515918614,-105321.13221932529,1210140.8240689696,1104819.6918496443,5050.423606878902,5050.423606878902,90.91012085403864,47.2396042,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155320_flat_cube.fits,88.11379,22.5,2305901.0176657904,-83226.82929982548,1194563.923482808,1111337.0941829826,4959.081752064355,4959.081752064355,90.88876690238226,47.20102148,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155321_flat_cube.fits,88.07941,67.5,2259179.7598378565,-151103.67896842002,1205141.7194031384,1054038.0404347184,4844.931187328223,4844.931187328223,90.86812146293408,47.1635431,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155322_flat_cube.fits,88.07371,0.0,2240907.10851449,-128005.41901927396,1184456.263766882,1056450.844747608,4809.627816225341,4809.627816225341,90.8468086847992,47.12565357,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155323_flat_cube.fits,88.06039,45.0,2328286.853021333,-92637.2558424254,1210462.0544318794,1117824.798589454,5000.193498723043,5000.193498723043,90.8258476611184,47.08777252,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155324_flat_cube.fits,88.03858,22.5,2350794.984150069,-84782.25403033779,1217788.6190902032,1133006.3650598654,5015.943269860944,5015.943269860944,90.8046834652036,47.04952683,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155325_flat_cube.fits,88.02045,67.5,2323906.541788117,-148765.45916008018,1236336.0004740986,1087570.5413140184,4308.221804431487,4308.221804431487,90.78345417231854,47.01168725,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155326_flat_cube.fits,88.00395,0.0,2310990.375861896,-125988.55912922393,1218489.46749556,1092500.908366336,4613.866326002065,4613.866326002065,90.7626899484031,46.97382067,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155327_flat_cube.fits,87.97468,45.0,2275859.45881218,-94357.10968145564,1185108.284246818,1090751.1745653625,4201.081194361173,4201.081194361173,90.74162898444506,46.93560899,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155328_flat_cube.fits,87.96101,22.5,2313107.7360995207,-84387.13541955152,1198747.435759536,1114360.3003399845,4810.504492747555,4810.504492747555,90.7203883013922,46.8977203,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155329_flat_cube.fits,87.94614,67.5,2309393.4198379777,-155228.73814465827,1232311.078991318,1077082.3408466596,5132.59348667515,5132.59348667515,90.69951452534724,46.85947437,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155330_flat_cube.fits,87.91883,0.0,2342000.451128649,-135887.2427088155,1238943.8469187324,1103056.604209917,5112.598722557704,5112.598722557704,90.67867382730014,46.82159864,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155331_flat_cube.fits,87.90693,45.0,2356346.906220153,-106100.50608147727,1231223.7061508151,1125123.200069338,5296.012397521447,5296.012397521447,90.65749465550424,46.78338987,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155332_flat_cube.fits,87.88849,22.5,2349727.4933433384,-87474.04145492241,1218600.7673991304,1131126.725944208,5476.743871574452,5476.743871574452,90.63637159419284,46.74553512,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155333_flat_cube.fits,87.86606,67.5,2318363.44190288,-150535.896949569,1234449.6694262244,1083913.7724766554,5111.652205593613,5111.652205593613,90.6158856715586,46.70804853,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155334_flat_cube.fits,87.84576,0.0,2378446.380480496,-144277.21470900904,1261361.7975947522,1117084.5828857431,4842.956118635167,4842.956118635167,90.59463735822683,46.66978976,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155335_flat_cube.fits,87.83016,45.0,2362497.3406206453,-106385.41069569904,1234441.3756581722,1128055.9649624731,4636.100557078184,4636.100557078184,90.57394701552312,46.63191506,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155336_flat_cube.fits,87.80859,22.5,2347549.2978035994,-88368.0284617662,1217958.663132683,1129590.6346709167,4954.301736812506,4954.301736812506,90.55296662665988,46.59366717,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155337_flat_cube.fits,87.78977,67.5,2313106.4970405493,-152925.88703861018,1233016.1920395796,1080090.3050009694,5159.048882274953,5159.048882274953,90.53202121613567,46.55580387,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155338_flat_cube.fits,87.75729,0.0,2367189.4825281613,-136297.38958444307,1251743.4360563022,1115446.046471859,4907.125680745185,4907.125680745185,90.51130558752426,46.51795907,1804.7021
/home/thomasmc/charis_mm_testing/HD30675-pol/flat-cubes/CRSA00155339_flat_cube.fits,87.74052,45.0,2367661.2265701834,-107714.33544014837,1237687.781005166,1129973.4455650176,5189.849055084297,5189.849055084297,90.49046072306788,46.47974613,1804.7021
