filepath,D_IMRANG,RET-ANG1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,p,a,wavelength_bin
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155278_cube.fits,88.90286,0.0,3878274.318729328,-138856.97260664334,2008565.6456679853,1869708.6730613424,9076.155385458374,9076.155385458374,91.79203064543496,48.79694762,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155279_cube.fits,88.89295,45.0,3926223.900070751,-67272.75185918808,1996748.3259649696,1929475.5741057813,8650.533148464396,8650.533148464396,91.77021868915728,48.75875485,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155280_cube.fits,88.87652,22.5,4140864.186292606,-35505.95759161748,2088185.071942112,2052679.1143504945,7434.395514375687,7434.395514375687,91.74819257646824,48.7209022,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155281_cube.fits,88.85222,67.5,3991430.7990469374,-156562.7607886307,2073996.779917784,1917434.019129153,7839.266642323351,7839.266642323351,91.72617461743629,48.68265241,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155282_cube.fits,88.83179,0.0,3892674.9179709097,-104205.93966908078,1998440.4288199951,1894234.4891509144,9609.854432850783,9609.854432850783,91.70468096955328,48.64479662,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155283_cube.fits,88.82009,45.0,4003138.001157487,-63245.075328846695,2033191.5382431664,1969946.46291432,7816.5228672226895,7816.5228672226895,91.68255861000466,48.60694185,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155284_cube.fits,88.79965,22.5,3899152.623588672,-29574.38440097752,1964363.5039948248,1934789.1195938475,8660.809979468277,8660.809979468277,91.66112149153363,48.568737,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155285_cube.fits,88.78118,67.5,4045968.386720344,-135642.9525425702,2090805.6696314567,1955162.7170888863,8489.250530615025,8489.250530615025,91.63948275593756,48.53090822,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155286_cube.fits,88.75899,0.0,4020465.667453858,-123136.887636618,2071801.277545238,1948664.38990862,7758.476184860116,7758.476184860116,91.61740177406794,48.49304343,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155287_cube.fits,88.73507,45.0,4071789.28103216,-69312.5644216903,2070550.9227269248,2001238.358305235,7358.004251894376,7358.004251894376,91.59592791071748,48.45480044,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155288_cube.fits,88.72295,22.5,3988052.737325744,-44651.08816524246,2016351.912745493,1971700.8245802503,7759.076866017632,7759.076866017632,91.57420189155586,48.4169366,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155289_cube.fits,88.70411,67.5,4253468.24256997,-175504.7338877346,2214486.4882288524,2038981.7543411176,5689.052406847964,5689.052406847964,91.55248102216736,48.37908676,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155290_cube.fits,88.68716,0.0,4264120.360757843,-183723.2244323201,2223921.792595081,2040198.5681627607,5459.69791579706,5459.69791579706,91.53093985127953,48.34087578,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155291_cube.fits,88.66655,45.0,4109469.12077418,-81025.6712195999,2095247.3959968896,2014221.72477729,6629.290621910342,6629.290621910342,91.50936926558543,48.30304393,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155292_cube.fits,88.64505,22.5,3936400.4533627946,-35037.77327125962,1985719.113317027,1950681.340045768,6974.173857331316,6974.173857331316,91.48741088037605,48.26479988,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155293_cube.fits,88.62748,67.5,3853861.734384652,-195898.67089276452,2024880.2026387083,1828981.531745944,8036.352854243555,8036.352854243555,91.46567070921002,48.22692885,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155294_cube.fits,88.6076,0.0,3998395.040560972,-131614.00132641313,2065004.5209436924,1933390.5196172795,7964.838659355761,7964.838659355761,91.44443843123472,48.18906085,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155295_cube.fits,88.5862,45.0,4021989.681854712,-113066.3912049518,2067528.036529832,1954461.64532488,8375.353682435898,8375.353682435898,91.4224550943778,48.15084371,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155296_cube.fits,88.57253,22.5,4084353.292413367,-10133.10509514995,2047243.1987542585,2037110.0936591085,6974.539130603621,6974.539130603621,91.40130908585334,48.1130077,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155297_cube.fits,88.55202,67.5,4045522.2380746487,-172670.8150442508,2109096.5265594497,1936425.711515199,7027.461527480824,7027.461527480824,91.3799870444799,48.07516676,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155298_cube.fits,88.53269,0.0,4129529.266451698,-145530.98868524493,2137530.127568472,1991999.1388832268,7362.260257102442,7362.260257102442,91.35814306534198,48.03729387,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155299_cube.fits,88.51616,45.0,4032456.618393604,-73093.70732226828,2052775.162857936,1979681.455535668,6557.299276685638,6557.299276685638,91.33688574258626,47.99905171,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155300_cube.fits,88.4891,22.5,3990322.481373928,-73584.15192470001,2031953.316649314,1958369.164724614,7484.407774720216,7484.407774720216,91.31547631255648,47.96118258,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155301_cube.fits,88.47053,67.5,3908432.286435954,-186281.2372214722,2047356.761828713,1861075.524607241,9142.780572217189,9142.780572217189,91.29376830674524,47.92333245,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155302_cube.fits,88.45544,0.0,3799648.013008544,-116300.30895165076,1957974.1609800973,1841673.8520284467,9239.747633590085,9239.747633590085,91.27248291636576,47.88512327,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155303_cube.fits,88.41627,45.0,3988793.361338775,-70839.78725326946,2029816.5742960223,1958976.7870427528,8660.635394926227,8660.635394926227,91.25106620206944,47.84727316,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155304_cube.fits,88.41651,22.5,3918963.256193773,-32726.858813597355,1975845.057503685,1943118.198690088,9664.798329886038,9664.798329886038,91.22963555449516,47.80940402,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155305_cube.fits,88.38976,67.5,3904111.0336486446,-169241.61867155018,2036676.3261600973,1867434.707488547,8748.473528417444,8748.473528417444,91.20825486260422,47.77152789,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155306_cube.fits,88.36207,0.0,3969167.106902254,-122551.61775584868,2045859.3623290511,1923307.7445732024,8699.359725257364,8699.359725257364,91.18680033013018,47.73328963,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155307_cube.fits,88.36207,45.0,3843518.5099520553,-70416.01620113826,1956967.263076597,1886551.2468754584,10979.5290914259,10979.5290914259,91.16508898172152,47.6950723,1744.3261
/home/thomasmc/charis_mm_testing/HD30675-pol/cubes/data/raw/CRSA00155308_cube.fits,88.33826,22.5,3957022.290227661,-47376.401752860285,2002199.3459902608,1954822.9442374003,9810.299725795816,9810.299725795816,91.14367399629222,47.65758019,1744.3261
