filepath,D_IMRANG,RET-ANG1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,p,a,wavelength_bin
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155481_flat_cube.fits,86.33203,0.0,3828342.082672383,-197004.8953384338,2012673.489005408,1815668.5936669745,5457.021297222463,5457.021297222463,78.29422089232283,43.63497933,1374.6208
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155482_flat_cube.fits,86.30883,45.0,3720520.658736541,-185083.7405153476,1952802.1996259445,1767718.459110597,5730.567442616331,5730.567442616331,78.28984909839794,43.59460382,1374.6208
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155483_flat_cube.fits,86.29572,22.5,4296109.182570474,-142823.67212296114,2219466.4273467176,2076642.7552237564,6751.715965927797,6751.715965927797,78.2853466221891,43.55386223,1374.6208
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155484_flat_cube.fits,86.27276,67.5,4256752.02919702,-271460.5107155824,2264106.269956301,1992645.7592407183,6193.046342595722,6193.046342595722,78.28088650008564,43.51350481,1374.6208
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155485_flat_cube.fits,86.25071,0.0,4430143.733429659,-254700.09157290845,2342421.912501284,2087721.820928376,6491.384362224397,6491.384362224397,78.27648502754545,43.47315017,1374.6208
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155486_flat_cube.fits,86.22913,45.0,4261812.47451424,-227462.9649970301,2244637.719755635,2017174.754758605,6313.7409710974,6313.7409710974,78.2720136500403,43.4327927,1374.6208
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155487_flat_cube.fits,86.19789,22.5,4370154.6415840015,-175216.99029745115,2272685.815940726,2097468.825643275,6414.440682303731,6414.440682303731,78.26751012460018,43.39204501,1374.6208
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155488_flat_cube.fits,86.17998,67.5,4352040.814775274,-295071.342737593,2323556.078756433,2028484.7360188405,6355.334643832886,6355.334643832886,78.26309522682786,43.3517095,1374.6208
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155489_flat_cube.fits,86.17004,0.0,4497855.05582761,-246784.2964932178,2372319.676160414,2125535.379667196,6388.82064999318,6388.82064999318,78.25851523811603,43.31094563,1374.6208
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155490_flat_cube.fits,86.13742,45.0,4558304.404679909,-232030.6616407209,2395167.533160316,2163136.8715195945,6886.33215627276,6886.33215627276,78.25402807107814,43.27100108,1374.6208
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155491_flat_cube.fits,86.12306,22.5,4496929.477212311,-207284.5897430368,2352107.033477674,2144822.443734637,6857.065856727857,6857.065856727857,78.2495722550986,43.22986206,1374.6208
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155492_flat_cube.fits,86.11208,67.5,4287575.478007374,-291175.11329212994,2289375.295649752,1998200.182357622,7080.477776063286,7080.477776063286,78.24503571827792,43.18952833,1374.6208
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155493_flat_cube.fits,86.08623,0.0,4316511.313392026,-217028.6243540668,2266769.968873047,2049741.34451898,6664.285749931519,6664.285749931519,78.24051738939188,43.14955377,1374.6208
/home/thomasmc/charis_mm_testing/HD35532/flat-cubes/CRSA00155494_flat_cube.fits,86.06908,45.0,4236880.993952305,-227722.5838741369,2232301.788913221,2004579.205039084,6679.776720038121,6679.776720038121,78.23603417470109,43.10844276,1374.6208
