filepath,D_IMRANG,RET-ANG1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,p,a,wavelength_bin
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155481_cube.fits,86.33203,0.0,3837790.524628427,-92726.49704922992,1965258.5108388285,1872532.0137895984,5600.065553653075,5600.065553653075,78.29422089232283,43.63497933,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155482_cube.fits,86.30883,45.0,3527866.6205311483,-49255.29769701348,1788560.959114081,1739305.6614170675,7464.379158895912,7464.379158895912,78.28984909839794,43.59460382,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155483_cube.fits,86.29572,22.5,3941825.129186199,-40783.74826281495,1991304.438724507,1950520.690461692,6997.955213467739,6997.955213467739,78.2853466221891,43.55386223,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155484_cube.fits,86.27276,67.5,4045140.837875392,-140769.74365881435,2092955.290767104,1952185.547108289,6242.614828785694,6242.614828785694,78.28088650008564,43.51350481,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155485_cube.fits,86.25071,0.0,4143241.874121325,-100829.80743792374,2122035.8407796244,2021206.033341701,6119.874704795036,6119.874704795036,78.27648502754545,43.47315017,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155486_cube.fits,86.22913,45.0,4045265.632256896,-98394.15504085504,2071829.893648876,1973435.7386080208,6275.299893355305,6275.299893355305,78.2720136500403,43.4327927,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155487_cube.fits,86.19789,22.5,4124559.0653281976,-48530.29944224842,2086544.682385223,2038014.3829429743,6076.464977043944,6076.464977043944,78.26751012460018,43.39204501,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155488_cube.fits,86.17998,67.5,4006082.5284982855,-111123.009482553,2058602.768990419,1947479.759507866,6404.414949677384,6404.414949677384,78.26309522682786,43.3517095,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155489_cube.fits,86.17004,0.0,4331930.800200199,-154009.95075424667,2242970.3754772227,2088960.424722976,5207.400979226414,5207.400979226414,78.25851523811603,43.31094563,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155490_cube.fits,86.13742,45.0,4140002.8047382594,-73812.52369182324,2106907.6642150413,2033095.140523218,6136.770588205816,6136.770588205816,78.25402807107814,43.27100108,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155491_cube.fits,86.12306,22.5,4168835.435722649,-51106.79521000502,2109971.115466327,2058864.320256322,6790.671473420992,6790.671473420992,78.2495722550986,43.22986206,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155492_cube.fits,86.11208,67.5,3891315.386107377,-107701.86324381152,1999508.624675594,1891806.7614317825,7593.057812297944,7593.057812297944,78.24503571827792,43.18952833,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155493_cube.fits,86.08623,0.0,4046688.106073738,-130098.8036577471,2088393.4548657427,1958294.651207996,6906.308777644127,6906.308777644127,78.24051738939188,43.14955377,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155494_cube.fits,86.06908,45.0,3848527.474650355,-99149.16841733152,1973838.321533844,1874689.153116512,7820.598879121871,7820.598879121871,78.23603417470109,43.10844276,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155495_cube.fits,86.05202,22.5,4093501.514177155,-92469.49881089151,2092985.506494024,2000516.007683132,6962.478551848872,6962.478551848872,78.23141391895884,43.06808196,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155496_cube.fits,86.0271,67.5,4120340.203144199,-118885.2867349172,2119612.744939558,2000727.458204641,6150.017615495017,6150.017615495017,78.2269027778531,43.02812831,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155497_cube.fits,86.00926,0.0,4275760.427581828,-107334.8661351134,2191547.6468584705,2084212.780723357,4556.437662684592,4556.437662684592,78.22240878676297,42.9873923,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155498_cube.fits,85.97177,45.0,4248460.294076111,-70368.10705709364,2159414.2005666024,2089046.0935095088,4513.941299388194,4513.941299388194,78.21778088350977,42.94703846,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155499_cube.fits,85.96808,22.5,3897195.267795432,-75671.48875288968,1986433.378274161,1910761.889521271,7168.29361316536,7168.29361316536,78.21323111859537,42.90670258,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155500_cube.fits,85.94171,67.5,4006464.997922211,-138316.39365952462,2072390.695790868,1934074.3021313432,6203.222766587013,6203.222766587013,78.20868127691237,42.8659565,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155501_cube.fits,85.91924,0.0,4123474.2521281065,-131599.5481403554,2127536.900134231,1995937.351993876,5842.519408737044,5842.519408737044,78.20405930699067,42.82562263,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155502_cube.fits,85.90733,45.0,4081149.578964689,-102297.38475925427,2091723.481861972,1989426.0971027173,6264.307648128269,6264.307648128269,78.19943699043641,42.7852637,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155503_cube.fits,85.87564,22.5,4131373.146011249,-67565.84180108085,2099469.493906165,2031903.652105084,5545.024498568659,5545.024498568659,78.19487997727445,42.74415644,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155504_cube.fits,85.86062,67.5,4220423.9596476015,-131893.39677824103,2176158.678212921,2044265.28143468,5280.616605078307,5280.616605078307,78.19019861235186,42.70380335,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155505_cube.fits,85.84323,0.0,4173948.718661348,-143490.67359201005,2158719.696126679,2015229.022534669,6490.236285574258,6490.236285574258,78.18559927695196,42.66386342,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155506_cube.fits,85.82027,45.0,4072637.952933928,-67475.45041111205,2070056.70167252,2002581.251261408,5957.666583228653,5957.666583228653,78.18106152947168,42.62311621,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155507_cube.fits,85.79584,22.5,4338062.510905512,-103574.706845548,2220818.60887553,2117243.902029982,5301.510741735659,5301.510741735659,78.17639576694751,42.58278922,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155508_cube.fits,85.78275,67.5,4777867.372217867,-179225.6028140178,2478546.487515942,2299320.8847019244,3879.934511977861,3879.934511977861,78.17168216736339,42.54244109,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155509_cube.fits,85.75445,0.0,4402333.793713743,-113922.43188142312,2258128.112797583,2144205.68091616,4619.874438742605,4619.874438742605,78.16711997815986,42.50172277,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155510_cube.fits,85.73457,45.0,4190214.040981599,-67683.01031648857,2128948.525649044,2061265.5153325552,4392.104787762396,4392.104787762396,78.1623890387663,42.46137559,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155511_cube.fits,85.68866,22.5,4151660.492914895,-90047.68747053202,2120854.0901927133,2030806.4027221813,5325.888867767659,5325.888867767659,78.15770023002287,42.42064925,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155512_cube.fits,85.68773,67.5,4247649.632112367,-163719.90507304156,2205684.768592705,2041964.863519663,5054.766457574685,5054.766457574685,78.15309356766501,42.37993489,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155513_cube.fits,85.65549,0.0,4098293.43435045,-108757.95543062454,2103525.6948905373,1994767.7394599128,6012.2788614869,6012.2788614869,78.14838143580286,42.3399747,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155514_cube.fits,85.65507,45.0,4337514.573527889,-116244.59508211166,2226879.5843050005,2110634.989222889,5727.999890318461,5727.999890318461,78.1436518530681,42.29925722,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155515_cube.fits,85.63916,22.5,4426509.713547434,-109337.63438030984,2267923.673963872,2158586.039583562,4983.266690908745,4983.266690908745,78.13906030930836,42.25891094,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155516_cube.fits,85.61462,67.5,4271054.949029037,-159217.39977054484,2215136.174399791,2055918.774629246,5611.893389560587,5611.893389560587,78.13428391917878,42.21820449,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155517_cube.fits,85.59363,0.0,4289124.84596381,-137025.29190529673,2213075.0689345533,2076049.7770292568,5575.679680689415,5575.679680689415,78.1295167713736,42.17824427,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155518_cube.fits,85.58079,45.0,4029534.584593151,-68447.82874722313,2048991.206670187,1980543.377922964,6436.243996920965,6436.243996920965,78.12489185598383,42.1375358,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155519_cube.fits,85.56015,22.5,4204408.293352682,-92806.47735523526,2148607.3853539587,2055800.907998724,5490.096409976791,5490.096409976791,78.12016318829478,42.09718835,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155520_cube.fits,85.54023,67.5,4222007.252483586,-160312.5627012779,2191159.907592432,2030847.3448911533,5491.815292388447,5491.815292388447,78.11534136097137,42.0568699,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155521_cube.fits,85.51976,0.0,4291984.542779341,-116592.94192233472,2204288.742350838,2087695.800428504,4964.851402408937,4964.851402408937,78.11067474312208,42.01613424,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155522_cube.fits,85.48445,45.0,4259281.731021738,-113933.66739528906,2186607.6992085134,2072674.0318132243,5108.893283377623,5108.893283377623,78.10589395579727,41.97544168,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155523_cube.fits,85.48269,22.5,4347541.340350753,-98394.17074533783,2222967.755548045,2124573.584802707,4874.461136144313,4874.461136144313,78.1010740794042,41.93508413,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155524_cube.fits,85.46347,67.5,4282109.773203877,-161006.08631640417,2221557.9297601404,2060551.843443736,5648.84810281583,5648.84810281583,78.09638652947262,41.89477864,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155525_cube.fits,85.43841,0.0,4127679.595233983,-143570.3517420492,2135624.973488016,1992054.6217459668,5840.002095512275,5840.002095512275,78.09159454870121,41.85443004,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155526_cube.fits,85.40679,45.0,4114903.446176524,-101566.99461587006,2108235.220396197,2006668.2257803269,5808.931589886537,5808.931589886537,78.08673185106265,41.81374129,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155527_cube.fits,85.39567,22.5,4260549.318612173,-65327.19777032081,2162938.258191247,2097611.060420926,5370.622860483607,5370.622860483607,78.08202559682702,41.77337955,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155528_cube.fits,85.38104,67.5,4287057.949166454,-166578.4740336379,2226818.211600046,2060239.737566408,4820.759960305846,4820.759960305846,78.0771922681043,41.73308182,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155529_cube.fits,85.36109,0.0,4229788.371332571,-142230.510760593,2186009.441046582,2043778.930285989,5540.363242578981,5540.363242578981,78.07235202580712,41.69273314,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155530_cube.fits,85.34134,45.0,4019371.164332653,-70314.43868659111,2044842.801509622,1974528.362823031,6507.732576742244,6507.732576742244,78.0676275121953,41.65204932,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155531_cube.fits,85.3237,22.5,4145327.68833476,-89911.19808773929,2117619.443211249,2027708.2451235105,6459.499970264327,6459.499970264327,78.06274980491118,41.61129238,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155532_cube.fits,85.3011,67.5,4162625.431467578,-135297.29654297302,2148961.364005276,2013664.067462303,7199.092199770811,7199.092199770811,78.0578664625995,41.57140197,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155533_cube.fits,85.28028,0.0,4420460.138667782,-129843.64122935478,2275151.8899485683,2145308.248719213,4381.766728404527,4381.766728404527,78.05311728546279,41.53105012,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155534_cube.fits,85.26206,45.0,4087991.662763546,-74311.19221027824,2081151.4274869123,2006840.235276634,6544.197134643166,6544.197134643166,78.04819196831103,41.48998794,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155535_cube.fits,85.22971,22.5,4095247.623822153,-67845.45545725431,2081546.539639704,2013701.0841824487,5028.400574681459,5028.400574681459,78.04325891335473,41.44961806,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155536_cube.fits,85.21494,67.5,4056108.283019962,-127701.86082910118,2091905.071924532,1964203.211095431,6020.206711164516,6020.206711164516,78.03855109945363,41.40934513,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155537_cube.fits,85.19671,0.0,4326440.183593777,-150336.9535124579,2238388.5685531176,2088051.61504066,5264.913013359631,5264.913013359631,78.03358668583977,41.36858893,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155538_cube.fits,85.17314,45.0,4259106.737173263,-140241.64957226883,2199674.193372766,2059432.5438004967,4993.197615717103,4993.197615717103,78.02870250008603,41.32831696,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155539_cube.fits,85.15944,22.5,4313749.629519466,-58118.17414152529,2185933.901830496,2127815.7276889705,4603.304177497023,4603.304177497023,78.02393383184544,41.28795898,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155540_cube.fits,85.13959,67.5,4328339.542439666,-166389.07018866483,2247364.306314165,2080975.2361255004,5444.91772174099,5444.91772174099,78.01904146134046,41.24767797,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155541_cube.fits,85.11798,0.0,4080100.1614852576,-128829.4730955183,2104464.817290388,1975635.3441948693,6954.002376720586,6954.002376720586,78.01403448375088,41.20692671,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155542_cube.fits,85.10013,45.0,4172783.7125390153,-78977.70393342641,2125880.7082362208,2046903.0043027943,6141.003781102287,6141.003781102287,78.00920421520307,41.16666263,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155543_cube.fits,85.07749,22.5,4151432.350013146,-56435.38183782273,2103933.8659254843,2047498.4840876616,5664.545902570284,5664.545902570284,78.00426382832968,41.12629748,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155544_cube.fits,85.05523,67.5,4050086.453762336,-146229.2010079543,2098157.827385145,1951928.626377191,6822.824532624763,6822.824532624763,77.99925627697645,41.08563946,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155545_cube.fits,85.03652,0.0,4151785.551032192,-126256.90076805068,2139021.225900121,2012764.3251320708,6478.885010245204,6478.885010245204,77.994431775042,41.04528431,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155546_cube.fits,85.01132,45.0,4111901.647551708,-77630.90530280606,2094766.276427257,2017135.371124451,6119.682502966896,6119.682502966896,77.98941818923763,41.00462702,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155547_cube.fits,84.97901,22.5,4456262.947655072,-98710.5550082256,2277486.7513316493,2178776.196323424,4698.876978792479,4698.876978792479,77.98442204957496,40.96426775,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155548_cube.fits,84.9698,67.5,4504349.456782623,-185202.4955446748,2344775.976163649,2159573.480618974,4397.6561606781,4397.6561606781,77.9795834742489,40.92400251,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155549_cube.fits,84.95275,0.0,4312109.535971978,-149362.60541984742,2230736.0706959125,2081373.465276065,4830.4777991192295,4830.4777991192295,77.97465536516013,40.88364923,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155550_cube.fits,84.92513,45.0,4387019.701856999,-106033.30361044548,2246526.5027337223,2140493.199123277,4870.116747548372,4870.116747548372,77.96952607017822,40.84299388,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155551_cube.fits,84.90421,22.5,4378988.704132296,-111552.32132405136,2245270.5127281738,2133718.1914041224,4619.908166430316,4619.908166430316,77.96468584670878,40.80263756,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155552_cube.fits,84.89766,67.5,4357320.782362688,-178206.76175138284,2267763.7720570355,2089557.0103056529,4124.605545872439,4124.605545872439,77.95963236889237,40.76237226,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155553_cube.fits,84.8766,0.0,4254141.253626628,-108198.56963046872,2181169.911628548,2072971.34199808,4509.538213277825,4509.538213277825,77.95457699345786,40.72163464,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155554_cube.fits,84.85692,45.0,3916439.73903472,-63786.63794840174,1990113.188491561,1926326.5505431592,6304.536912350486,6304.536912350486,77.94967004159085,40.68136619,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155555_cube.fits,84.82993,22.5,4019713.693574973,-86249.6997659665,2052981.6966704696,1966731.996904504,6159.112002587786,6159.112002587786,77.94460843180471,40.64102365,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155556_cube.fits,84.81623,67.5,3973598.769154906,-151960.13899833872,2062779.4540766224,1910819.315078284,6665.49542809882,6665.49542809882,77.93955867241735,40.60036792,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155557_cube.fits,84.79662,0.0,4283622.080918958,-142781.96973929508,2213202.025329127,2070420.055589832,3707.030598661858,3707.030598661858,77.9346664522835,40.56002331,1998.6603
/home/thomasmc/charis_mm_testing/HD35532/cubes/data/raw/CRSA00155558_cube.fits,84.76811,45.0,3836965.4448287087,-72607.21937459148,1954786.33210165,1882179.1127270584,5287.846012043516,5287.846012043516,77.92956833527099,40.51975574,1998.6603
